lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,IMD_Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60+,WorkPop
E01003608,Newham 028D,Newham 028D,92797.409327000001213,1511.245245762854665,"11406","4",Newham 028D,E09000025,Newham,23.936000000000000,"11406","4",0.099000000000000,"16380","5",0.053000000000000,"23839","8",11.154000000000000,"20748","7",-0.332000000000000,"21145","7",0.879000000000000,"4591","2",46.228000000000002,"857","1",45.645000000000003,"2758","1",0.133000000000000,"15723","5",0.187000000000000,"10953","4",-0.520000000000000,"24181","8",0.294000000000000,"16626","6",-0.784000000000000,"27793","9",6.102000000000000,"275","1",0.839000000000000,"5268","2",1.283000000000000,"2517","1","2209","556","1435","218",1420.500000000000000
E01003607,Newham 026D,Newham 026D,126308.441021000006003,1577.938859823887469,"7786","3",Newham 026D,E09000025,Newham,30.506000000000000,"7786","3",0.184000000000000,"7708","3",0.110000000000000,"11025","4",13.307000000000000,"18773","6",-0.021000000000000,"16317","5",0.512000000000000,"8918","3",50.177000000000000,"299","1",31.719000000000001,"7870","3",0.209000000000000,"9492","3",0.434000000000000,"1306","1",-0.652000000000000,"25940","8",0.330000000000000,"12771","4",-1.293000000000000,"31449","10",7.041000000000000,"13","1",-0.157000000000000,"18961","6",1.655000000000000,"1135","1","1772","422","1209","141",1191.000000000000000
E01003495,Newham 025D,Newham 025D,118298.812279999998282,1607.673852247338345,"16134","5",Newham 025D,E09000025,Newham,17.983000000000001,"16134","5",0.103000000000000,"15850","5",0.056000000000000,"22569","7",12.792999999999999,"19222","6",-0.603000000000000,"24750","8",-0.269000000000000,"20606","7",39.295000000000002,"2405","1",36.283999999999999,"5691","2",0.134000000000000,"15594","5",0.204000000000000,"9704","3",-0.682000000000000,"26287","9",0.326000000000000,"13195","5",-1.107000000000000,"30532","10",5.258000000000000,"744","1",0.391000000000000,"10651","4",1.351000000000000,"2212","1","2202","588","1416","198",1395.750000000000000
E01003592,Newham 022B,Newham 022B,144396.056565000006231,1996.934854115674170,"6110","2",Newham 022B,E09000025,Newham,34.378000000000000,"6110","2",0.200000000000000,"6664","3",0.119000000000000,"9858","4",15.428000000000001,"17032","6",0.561000000000000,"8376","3",0.609000000000000,"7604","3",47.424999999999997,"638","1",37.307000000000002,"5262","2",0.217000000000000,"8970","3",0.375000000000000,"2430","1",-0.630000000000000,"25649","8",0.351000000000000,"10670","4",-1.213000000000000,"31090","10",6.483000000000000,"139","1",0.556000000000000,"8471","3",1.162000000000000,"3153","1","1897","396","1282","219",1258.250000000000000
E01003596,Newham 016B,Newham 016B,110877.472181000004639,2515.161738924359724,"10626","4",Newham 016B,E09000025,Newham,25.239999999999998,"10626","4",0.146000000000000,"10897","4",0.074000000000000,"17741","6",17.975999999999999,"15146","5",0.080000000000000,"14816","5",0.152000000000000,"14265","5",48.006999999999998,"565","1",28.030000000000001,"9934","4",0.166000000000000,"12646","4",0.372000000000000,"2492","1",-0.200000000000000,"19408","6",0.345000000000000,"11262","4",-1.236000000000000,"31204","10",6.570000000000000,"109","1",0.130000000000000,"14452","5",1.040000000000000,"3868","2","1889","425","1246","218",1242.500000000000000
E01003597,Newham 016C,Newham 016C,90126.581809499999508,1547.183772300510782,"10384","4",Newham 016C,E09000025,Newham,25.675999999999998,"10384","4",0.169000000000000,"8831","3",0.079000000000000,"16627","6",18.282000000000000,"14934","5",-0.290000000000000,"20503","7",0.114000000000000,"14915","5",48.585999999999999,"503","1",27.734000000000002,"10118","4",0.154000000000000,"13681","5",0.461000000000000,"959","1",-0.638000000000000,"25756","8",0.380000000000000,"8195","3",-0.876000000000000,"28731","9",6.522000000000000,"126","1",0.040000000000000,"15803","5",1.130000000000000,"3325","2","1625","337","1074","214",1068.000000000000000
E01003539,Newham 029B,Newham 029B,253777.378124000009848,2975.333852136586302,"9378","3",Newham 029B,E09000025,Newham,27.344999999999999,"9378","3",0.166000000000000,"9078","3",0.086000000000000,"15087","5",18.690999999999999,"14638","5",-0.123000000000000,"17948","6",0.486000000000000,"9267","3",46.238000000000000,"853","1",31.984999999999999,"7722","3",0.189000000000000,"10855","4",0.325000000000000,"3781","2",-0.264000000000000,"20424","7",0.358000000000000,"10022","4",-0.746000000000000,"27374","9",6.079000000000000,"285","1",0.271000000000000,"12278","4",1.172000000000000,"3089","1","2375","661","1477","237",1448.250000000000000
E01003527,Newham 024B,Newham 024B,165211.946887500002049,1835.104297195593972,"14394","5",Newham 024B,E09000025,Newham,19.946999999999999,"14394","5",0.092000000000000,"17572","6",0.063000000000000,"20551","7",14.682000000000000,"17602","6",-0.568000000000000,"24294","8",0.211000000000000,"13318","5",41.542000000000002,"1765","1",37.789999999999999,"5072","2",0.085000000000000,"21576","7",0.211000000000000,"9271","3",-0.371000000000000,"22006","7",0.324000000000000,"13337","5",-0.765000000000000,"27592","9",5.414000000000000,"637","1",0.481000000000000,"9462","3",1.331000000000000,"2294","1","2138","571","1324","243",1295.750000000000000
E01003537,Newham 024C,Newham 024C,194110.924131999985548,2544.136785836439230,"10573","4",Newham 024C,E09000025,Newham,25.312000000000001,"10573","4",0.144000000000000,"11074","4",0.072000000000000,"18170","6",15.711000000000000,"16820","6",-0.010000000000000,"16168","5",0.160000000000000,"14165","5",43.542999999999999,"1311","1",42.353999999999999,"3570","2",0.167000000000000,"12532","4",0.278000000000000,"5558","2",-0.559000000000000,"24729","8",0.349000000000000,"10796","4",-1.198000000000000,"31021","10",5.882000000000000,"369","1",0.654000000000000,"7275","3",1.388000000000000,"2046","1","2219","589","1419","211",1397.500000000000000
E01003523,Newham 024A,Newham 024A,206376.968182499986142,2683.456994795445553,"7292","3",Newham 024A,E09000025,Newham,31.507000000000001,"7292","3",0.183000000000000,"7801","3",0.108000000000000,"11360","4",17.820000000000000,"15259","5",0.120000000000000,"14189","5",0.532000000000000,"8650","3",50.469999999999999,"269","1",31.777000000000001,"7843","3",0.196000000000000,"10348","4",0.376000000000000,"2411","1",-0.107000000000000,"17861","6",0.333000000000000,"12424","4",-0.798000000000000,"27952","9",6.788000000000000,"55","1",-0.150000000000000,"18845","6",1.654000000000000,"1142","1","2073","467","1337","269",1312.000000000000000
E01003525,Newham 018D,Newham 018D,129302.281849000006332,2200.470850977861119,"7708","3",Newham 018D,E09000025,Newham,30.664000000000001,"7708","3",0.149000000000000,"10617","4",0.061000000000000,"21237","7",17.132999999999999,"15716","5",-0.815000000000000,"27165","9",1.282000000000000,"1828","1",50.506999999999998,"264","1",51.259999999999998,"1704","1",0.191000000000000,"10712","4",0.365000000000000,"2666","1",-0.056000000000000,"17004","6",0.319000000000000,"13887","5",-0.901000000000000,"28953","9",6.890000000000000,"37","1",0.797000000000000,"5724","2",1.798000000000000,"785","1","2167","475","1475","217",1463.500000000000000
E01003526,Newham 018E,Newham 018E,107246.226309000005131,1969.098019258650311,"7996","3",Newham 018E,E09000025,Newham,30.073000000000000,"7996","3",0.168000000000000,"8969","3",0.094000000000000,"13650","5",17.289000000000001,"15608","5",0.073000000000000,"14905","5",0.329000000000000,"11503","4",51.546999999999997,"173","1",36.338999999999999,"5657","2",0.174000000000000,"11967","4",0.416000000000000,"1587","1",-0.180000000000000,"19080","6",0.335000000000000,"12191","4",-0.671000000000000,"26470","9",6.893000000000000,"36","1",0.251000000000000,"12584","4",1.547000000000000,"1472","1","1951","466","1277","208",1237.500000000000000
E01003542,Newham 024D,Newham 024D,135058.073959000001196,2333.423223088581835,"6748","3",Newham 024D,E09000025,Newham,32.819000000000003,"6748","3",0.210000000000000,"6064","2",0.125000000000000,"9129","3",21.596000000000000,"12801","4",0.183000000000000,"13300","5",0.367000000000000,"10926","4",47.116999999999997,"686","1",29.949999999999999,"8843","3",0.218000000000000,"8873","3",0.419000000000000,"1538","1",-0.474000000000000,"23542","8",0.403000000000000,"6633","3",-1.474000000000000,"32060","10",6.484000000000000,"137","1",-0.141000000000000,"18682","6",1.507000000000000,"1599","1","2060","563","1274","223",1226.750000000000000
E01003536,Newham 023B,Newham 023B,175039.319000999996206,2429.084967812473224,"8245","3",Newham 023B,E09000025,Newham,29.530999999999999,"8245","3",0.178000000000000,"8193","3",0.099000000000000,"12687","4",21.690999999999999,"12748","4",-0.151000000000000,"18419","6",0.525000000000000,"8730","3",46.548999999999999,"794","1",33.755000000000003,"6821","3",0.219000000000000,"8844","3",0.293000000000000,"4988","2",-0.005000000000000,"16184","5",0.362000000000000,"9677","3",-1.063000000000000,"30238","10",6.289000000000000,"201","1",0.138000000000000,"14309","5",1.495000000000000,"1647","1","1911","548","1194","169",1158.250000000000000
E01003538,Newham 029A,Newham 029A,172111.671574500011047,2495.007235348991799,"7064","3",Newham 029A,E09000025,Newham,32.046999999999997,"7064","3",0.189000000000000,"7385","3",0.103000000000000,"11992","4",23.097000000000001,"11846","4",0.058000000000000,"15101","5",0.539000000000000,"8549","3",49.601999999999997,"380","1",33.597999999999999,"6899","3",0.187000000000000,"10996","4",0.390000000000000,"2077","1",-0.033000000000000,"16641","6",0.379000000000000,"8275","3",-0.789000000000000,"27841","9",6.636000000000000,"95","1",0.143000000000000,"14226","5",1.476000000000000,"1714","1","2184","593","1343","248",1314.500000000000000
E01003540,Newham 029C,Newham 029C,208769.934038500010502,2713.407204187724346,"4673","2",Newham 029C,E09000025,Newham,38.680000000000000,"4673","2",0.218000000000000,"5655","2",0.127000000000000,"8855","3",25.129000000000001,"10763","4",0.445000000000000,"9778","3",0.551000000000000,"8389","3",54.091000000000001,"81","1",41.781999999999996,"3719","2",0.262000000000000,"6226","2",0.373000000000000,"2473","1",-0.126000000000000,"18173","6",0.408000000000000,"6264","2",-0.159000000000000,"18525","6",6.609000000000000,"100","1",0.150000000000000,"14134","5",2.070000000000000,"317","1","2034","544","1302","188",1269.750000000000000
E01003483,Newham 032A,Newham 032A,244585.208470000012312,3465.333136825737256,"5149","2",Newham 032A,E09000025,Newham,37.192000000000000,"5149","2",0.237000000000000,"4675","2",0.143000000000000,"7182","3",24.626000000000001,"11036","4",0.219000000000000,"12792","4",0.669000000000000,"6860","3",57.765999999999998,"25","1",16.329999999999998,"18114","6",0.246000000000000,"7135","3",0.529000000000000,"470","1",-0.108000000000000,"17873","6",0.402000000000000,"6678","3",0.131000000000000,"13419","5",6.628000000000000,"97","1",-1.382000000000000,"31120","10",1.023000000000000,"3969","2","1596","370","1062","164",1052.500000000000000
E01003518,Newham 032D,Newham 032D,179985.633640999963973,2780.456087279527310,"12298","4",Newham 032D,E09000025,Newham,22.635999999999999,"12298","4",0.118000000000000,"13950","5",0.071000000000000,"18577","6",14.172000000000001,"18009","6",-0.334000000000000,"21180","7",0.004000000000000,"16609","6",55.575000000000003,"54","1",21.309000000000001,"14325","5",0.165000000000000,"12690","4",0.173000000000000,"12004","4",-0.458000000000000,"23318","8",0.326000000000000,"13166","5",0.480000000000000,"8248","3",5.484000000000000,"587","1",-0.922000000000000,"28385","9",1.323000000000000,"2325","1","1671","390","1124","157",1122.750000000000000
E01003541,Newham 029D,Newham 029D,152513.421608000004198,2498.662186131764884,"9496","3",Newham 029D,E09000025,Newham,27.163000000000000,"9496","3",0.155000000000000,"10036","4",0.076000000000000,"17134","6",18.815999999999999,"14539","5",-0.367000000000000,"21686","7",0.444000000000000,"9850","3",54.698000000000000,"70","1",29.116000000000000,"9313","3",0.190000000000000,"10749","4",0.248000000000000,"7018","3",-0.468000000000000,"23459","8",0.375000000000000,"8596","3",0.204000000000000,"12204","4",5.979000000000000,"324","1",-0.103000000000000,"18079","6",1.402000000000000,"1982","1","2062","587","1272","203",1233.500000000000000
E01003601,Newham 028A,Newham 028A,362193.767936500022188,3616.036828313484875,"5153","2",Newham 028A,E09000025,Newham,37.186000000000000,"5153","2",0.204000000000000,"6435","2",0.134000000000000,"8099","3",24.832000000000001,"10925","4",0.408000000000000,"10227","4",0.995000000000000,"3564","2",46.319000000000003,"836","1",35.920000000000002,"5841","2",0.250000000000000,"6913","3",0.331000000000000,"3558","2",-0.162000000000000,"18790","6",0.409000000000000,"6219","2",-1.227000000000000,"31159","10",6.317000000000000,"195","1",-0.007000000000000,"16573","6",1.812000000000000,"747","1","2293","548","1501","244",1478.250000000000000
E01003604,Newham 031D,Newham 031D,215397.978930999990553,3009.494730783556406,"5642","2",Newham 031D,E09000025,Newham,35.680999999999997,"5642","2",0.201000000000000,"6595","3",0.111000000000000,"10873","4",21.234999999999999,"13001","4",0.319000000000000,"11367","4",0.773000000000000,"5700","2",49.658000000000001,"368","1",41.459000000000003,"3809","2",0.243000000000000,"7312","3",0.280000000000000,"5479","2",-0.171000000000000,"18931","6",0.375000000000000,"8594","3",-0.815000000000000,"28140","9",6.655000000000000,"87","1",0.600000000000000,"7936","3",1.412000000000000,"1930","1","2433","671","1581","181",1542.000000000000000
E01003496,Newham 027A,Newham 027A,188113.995701500010910,1876.849594771746979,"8737","3",Newham 027A,E09000025,Newham,28.547999999999998,"8737","3",0.185000000000000,"7699","3",0.123000000000000,"9364","3",12.787000000000001,"19228","6",-0.053000000000000,"16839","6",0.365000000000000,"10946","4",48.012999999999998,"564","1",18.425000000000001,"16488","6",0.243000000000000,"7319","3",0.402000000000000,"1825","1",-0.254000000000000,"20274","7",0.289000000000000,"17161","6",-0.650000000000000,"26235","8",6.267000000000000,"209","1",-0.814000000000000,"27459","9",1.042000000000000,"3854","2","1424","272","1036","116",1018.000000000000000
