FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,LSOA21CD_1,RUC21CD,RUC21NM,Urban_rura,Shape_Leng,Shape__Are,Shape__Len,GlobalID_2,NormIMD,Tran_Dis,Tran_Dist,IMD_FID,IMD_LSOA21,IMD_LSOA_1,IMD_BNG_E,IMD_BNG_N,IMD_LAT,IMD_LONG,IMD_5min_C,IMD_HubDis,IMD_Distan,IMD_NormDi,IMD_Access,IMD_No Car,IMD_IMD Sc,IMD_NormIM,IMD_Income,IMD_Inco_1,IMD_Inco_2,IMD_Employ,IMD_Empl_1,IMD_Educat,IMD_Health,IMD_Barrie,IMD_Living,IMD_5min_1
3335,E01003495,Newham 025D,,542018,182841,51.5266,0.045858,71d80515-2133-4190-8a81-378233102d50,E01003495,UN1,Urban: Nearer to a major town or city,Urban,1681.731202,118728.2427,1681.731202,1fc71bf4-6ac3-4090-9088-3fa0735173bd,0.23,0,0,3335,Newham 025D,,542018,182841,51.5266,0.045858,24,202.6994086,0.31,0.69,12.345,41.9,18,0.233933162,0.1,5,11074,0.1,7,12.8,-0.6,39.3,36.3,24
3364,E01003527,Newham 024B,,542432,183056,51.5285,0.051909,56e06971-859b-4b47-a9ac-7c8ea616d8fe,E01003527,UN1,Urban: Nearer to a major town or city,Urban,1870.49485,164340.7824,1870.49485,90a238a6-d104-4a59-b6c9-87d7f15ffff8,0.28,1,0,3364,Newham 024B,,542432,183056,51.5285,0.051909,9.6,350.6202261,0.55,0.45,5.025,41.9,19.9,0.28277635,0.1,6,9078,0.1,7,14.7,-0.6,41.5,37.8,9.6
3374,E01003537,Newham 024C,,542461,182728,51.5255,0.052194,3fa0cc11-4414-4bb6-9b9f-46cf68ffe1fc,E01003537,UN1,Urban: Nearer to a major town or city,Urban,2650.136319,193919.2966,2650.136319,0eb6b7b7-07e2-4854-b4e0-47cbb4d3d3f6,0.42,1,0,3374,Newham 024C,,542461,182728,51.5255,0.052194,27,354.9201434,0.56,0.44,13.72,41.9,25.3,0.42159383,0.1,4,7699,0.1,6,15.7,0,43.5,42.4,27
3376,E01003539,Newham 029B,,541831,182379,51.5225,0.042979,efec0c32-bc11-490a-b529-615b7104c655,E01003539,UN1,Urban: Nearer to a major town or city,Urban,3092.573014,248369.4049,3092.573014,9b46d6ec-836a-40b3-9466-fa0ceb57b657,0.47,0,0,3376,Newham 029B,,541831,182379,51.5225,0.042979,64,86.22713163,0.11,0.89,32.445,40.6,27.3,0.473007712,0.2,3,7080,0.1,5,18.7,-0.1,46.2,32,64
32243,E01034204,Newham 025F,,541941,183202,51.5299,0.044894,609916f3-3eed-490f-b226-98864b719fcf,E01034204,UN1,Urban: Nearer to a major town or city,Urban,1466.983303,93534.62939,1466.983303,1e8d1328-116f-46cf-8895-dfa95cd258dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3336,E01003496,Newham 027A,,539439,182881,51.5276,0.008723,be225b8c-7eee-486c-b5d8-c110003078a9,E01003496,UN1,Urban: Nearer to a major town or city,Urban,1895.383322,189437.6419,1895.383322,60ea8472-933c-4ca4-bb1b-3daa3c46d900,0.5,0,0,3336,Newham 027A,,539439,182881,51.5276,0.008723,28,279.8043065,0.43,0.57,14.285,54.5,28.5,0.503856041,0.2,3,5747,0.1,3,12.8,-0.1,48,18.4,28
3338,E01003498,Newham 027B,,539913,182682,51.5257,0.015472,e452dd50-d05d-4836-9bb9-55ff72aa423e,E01003498,UN1,Urban: Nearer to a major town or city,Urban,3222.218106,233096.3287,3222.218106,06f66d5e-7e60-448f-8de2-14405c2aa76a,0.62,0,0,3338,Newham 027B,,539913,182682,51.5257,0.015472,71,87.63717392,0.12,0.88,35.94,54.5,33.2,0.624678663,0.2,3,8342,0.1,4,20.1,0.3,50.4,18.7,71
3340,E01003500,Newham 027C,,539039,182529,51.5246,0.002821,ceed940e-0235-43be-9f78-70df3b15176b,E01003500,UN1,Urban: Nearer to a major town or city,Urban,5801.504342,741747.0923,5801.504342,8bfb5ab0-7f7c-4ebf-89c8-49de3c80aa83,0.65,0,0,3340,Newham 027C,,539039,182529,51.5246,0.002821,40,109.9033962,0.15,0.85,20.425,54.5,34.3,0.652956298,0.2,3,13616,0.1,3,20.2,0.4,52,29.2,40
3430,E01003593,Newham 027D,,539917,183105,51.5295,0.015697,78cb3e1b-e062-40b0-b3e2-56dcfac67a74,E01003593,UN1,Urban: Nearer to a major town or city,Urban,1425.84651,108849.6519,1425.84651,acacf367-4fab-464a-a8b7-0ae9f113fcf4,0.61,0,0,3430,Newham 027D,,539917,183105,51.5295,0.015697,58,151.9671858,0.22,0.78,29.39,54.5,32.7,0.611825193,0.2,2,2564,0.1,3,17.7,0.3,52.7,23.8,58
3460,E01003631,Newham 020A,,539338,183215,51.5307,0.0074,00a58efb-bc56-4593-a890-142a3fa97be0,E01003631,UN1,Urban: Nearer to a major town or city,Urban,2302.268563,165621.4174,2302.268563,4b34a025-91a6-4efc-89eb-8409b8565ff5,0.47,0,0,3460,Newham 020A,,539338,183215,51.5307,0.0074,60,25.53596677,0.02,0.98,30.49,53,27.2,0.470437018,0.2,3,2747,0.1,5,16.7,-0.2,44.5,37.7,60
