LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01003518,Newham 032D,E09000025,Newham,"12,298",4,"13,950",5,"18,577",6,"18,009",6,"21,180",7,"16,609",6,54,1,"14,325",5
E01003519,Newham 032E,E09000025,Newham,"8,298",3,"9,400",3,"13,173",5,"11,201",4,"13,783",5,"14,196",5,134,1,"12,144",4
E01003520,Newham 018A,E09000025,Newham,"9,784",3,"10,740",4,"19,217",6,"17,314",6,"24,204",8,"2,963",1,316,1,"10,427",4
E01003521,Newham 018B,E09000025,Newham,"8,772",3,"16,257",5,"24,531",8,"18,898",6,"23,476",8,"3,128",1,217,1,568,1
E01003522,Newham 018C,E09000025,Newham,"7,371",3,"7,793",3,"15,692",5,"15,473",5,"15,681",5,"10,646",4,56,1,"3,745",2
E01003523,Newham 024A,E09000025,Newham,"7,292",3,"7,801",3,"11,360",4,"15,259",5,"14,189",5,"8,650",3,269,1,"7,843",3
E01003524,Newham 019D,E09000025,Newham,"8,734",3,"10,805",4,"14,783",5,"12,181",4,"25,405",8,"15,222",5,406,1,"2,010",1
E01003525,Newham 018D,E09000025,Newham,"7,708",3,"10,617",4,"21,237",7,"15,716",5,"27,165",9,"1,828",1,264,1,"1,704",1
E01003526,Newham 018E,E09000025,Newham,"7,996",3,"8,969",3,"13,650",5,"15,608",5,"14,905",5,"11,503",4,173,1,"5,657",2
E01003527,Newham 024B,E09000025,Newham,"14,394",5,"17,572",6,"20,551",7,"17,602",6,"24,294",8,"13,318",5,"1,765",1,"5,072",2
E01003528,Newham 005A,E09000025,Newham,"7,853",3,"5,983",2,"10,283",4,"13,776",5,"20,546",7,"18,759",6,63,1,"14,457",5
E01003529,Newham 010A,E09000025,Newham,"11,784",4,"10,573",4,"19,467",6,"17,463",6,"25,575",8,"18,878",6,280,1,"8,168",3
E01003530,Newham 010B,E09000025,Newham,"12,818",4,"11,285",4,"18,667",6,"18,288",6,"24,153",8,"18,119",6,483,1,"12,637",4
E01003531,Newham 010C,E09000025,Newham,"8,410",3,"7,802",3,"15,096",5,"17,961",6,"20,759",7,"5,326",2,408,1,"7,214",3
E01003532,Newham 010D,E09000025,Newham,"10,613",4,"10,320",4,"18,965",6,"20,596",7,"24,131",8,"8,449",3,876,1,"3,635",2
E01003533,Newham 011A,E09000025,Newham,"9,258",3,"9,813",3,"14,503",5,"16,104",5,"19,454",6,"11,103",4,628,1,"4,922",2
E01003534,Newham 010E,E09000025,Newham,"10,661",4,"10,825",4,"17,239",6,"14,091",5,"24,160",8,"17,808",6,383,1,"5,922",2
E01003535,Newham 023A,E09000025,Newham,"3,580",2,"3,655",2,"4,911",2,"7,740",3,"9,674",3,"9,436",3,105,1,"8,820",3
E01003536,Newham 023B,E09000025,Newham,"8,245",3,"8,193",3,"12,687",4,"12,748",4,"18,419",6,"8,730",3,794,1,"6,821",3
E01003537,Newham 024C,E09000025,Newham,"10,573",4,"11,074",4,"18,170",6,"16,820",6,"16,168",5,"14,165",5,"1,311",1,"3,570",2
E01003538,Newham 029A,E09000025,Newham,"7,064",3,"7,385",3,"11,992",4,"11,846",4,"15,101",5,"8,549",3,380,1,"6,899",3
E01003539,Newham 029B,E09000025,Newham,"9,378",3,"9,078",3,"15,087",5,"14,638",5,"17,948",6,"9,267",3,853,1,"7,722",3
E01003540,Newham 029C,E09000025,Newham,"4,673",2,"5,655",2,"8,855",3,"10,763",4,"9,778",3,"8,389",3,81,1,"3,719",2
E01003541,Newham 029D,E09000025,Newham,"9,496",3,"10,036",4,"17,134",6,"14,539",5,"21,686",7,"9,850",3,70,1,"9,313",3
E01003542,Newham 024D,E09000025,Newham,"6,748",3,"6,064",2,"9,129",3,"12,801",4,"13,300",5,"10,926",4,686,1,"8,843",3
E01003543,Newham 001A,E09000025,Newham,"11,912",4,"11,312",4,"16,403",5,"22,024",7,"17,857",6,"15,129",5,695,1,"10,652",4
E01003544,Newham 001B,E09000025,Newham,"8,651",3,"12,097",4,"16,912",6,"13,155",5,"14,947",5,"6,011",2,598,1,"4,364",2
