FID,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,IMD_Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60_,WorkPop,Shape__Area,Shape__Length
3443,E01003503,Newham 030D,Newham 030D,147323.6971,3477.394375,4459,2,Newham 030D,E09000025,Newham,39.386,4459,2,0.226,5213,2,0.167,5198,2,20.593,13399,5,0.368,10745,4,1.232,2080,1,43.227,1380,1,32.899,7254,3,0.266,6038,2,0.392,2041,1,-0.415,22690,7,0.388,7561,3,-1.626,32348,10,5.904,358,1,-0.738,26715,9,2.117,255,1,2246,472,1527,247,1540,380003.437,5584.340592
3444,E01003506,Newham 034D,Newham 034D,106335.3882,1619.953055,3005,1,Newham 034D,E09000025,Newham,45.294,3005,1,0.289,2564,1,0.172,4869,2,23.231,11775,4,0.898,5060,2,0.888,4506,2,51.417,183,1,23.583,12725,4,0.35,2631,1,0.413,1621,1,-0.454,23257,8,0.416,5771,2,-0.441,23131,8,6.578,108,1,-0.704,26356,9,1.41,1940,1,1318,290,843,185,824.25,274192.9515,2599.655507
3445,E01003507,Newham 031A,Newham 031A,145348.0424,2299.638031,6282,2,Newham 031A,E09000025,Newham,33.98,6282,2,0.159,9696,3,0.097,13042,4,21.693,12744,4,0.368,10742,4,0.819,5223,2,47.536,624,1,50.171,1886,1,0.174,11985,4,0.345,3169,1,-0.32,21257,7,0.392,7312,3,-2.459,32834,10,6.582,104,1,0.82,5473,2,1.671,1092,1,2518,576,1659,283,1625.25,374944.901,3694.398682
3446,E01003508,Newham 031B,Newham 031B,131935.0199,2557.458866,5231,2,Newham 031B,E09000025,Newham,36.928,5231,2,0.187,7569,3,0.099,12724,4,24.859,10905,4,0.361,10845,4,1.409,1325,1,49.223,424,1,38.229,4912,2,0.228,8244,3,0.455,1036,1,-0.239,20037,7,0.416,5799,2,-0.949,29415,9,6.667,84,1,0.102,14860,5,1.852,647,1,1896,481,1235,180,1208.5,340310.6042,4106.740982
3447,E01003509,Newham 031C,Newham 031C,102482.4432,1423.502275,5736,2,Newham 031C,E09000025,Newham,35.443,5736,2,0.197,6836,3,0.12,9639,3,21.979,12556,4,0.287,11805,4,0.688,6636,3,43.193,1387,1,50.915,1761,1,0.272,5764,2,0.304,4516,2,-0.214,19623,6,0.386,7737,3,-0.739,27302,9,5.618,504,1,0.915,4556,2,1.534,1506,1,2108,491,1386,231,1400,264343.9001,2285.9347
3448,E01003511,Newham 036A,Newham 036A,91272.17762,1645.406911,5790,2,Newham 036A,E09000025,Newham,35.284,5790,2,0.198,6778,3,0.107,11500,4,26.675,9988,4,0.641,7492,3,0.916,4251,2,49.844,341,1,21.39,14270,5,0.232,7996,3,0.326,3711,2,-0.041,16744,6,0.414,5909,2,-0.916,29113,9,6.749,62,1,-1.078,29594,10,1.38,2081,1,1613,442,1009,162,972.5,235393.9278,2642.541736
3449,E01003512,Newham 036B,Newham 036B,130390.4692,3152.55616,5783,2,Newham 036B,E09000025,Newham,35.298,5783,2,0.201,6628,3,0.123,9316,3,24.936,10865,4,0.348,11005,4,0.948,3947,2,48.458,517,1,26.344,10961,4,0.261,6295,2,0.369,2589,1,-0.228,19861,7,0.416,5811,2,-0.59,25384,8,6.282,205,1,-0.126,18457,6,1.209,2895,1,1951,420,1281,250,1269.25,336252.4496,5060.172717
3450,E01003513,Newham 035D,Newham 035D,354548.0653,3673.480503,12640,4,Newham 035D,E09000025,Newham,22.174,12640,4,0.111,14743,5,0.06,21471,7,11.716,20218,7,-0.362,21616,7,0.412,10270,4,56.407,40,1,20.376,14996,5,0.138,15210,5,0.252,6804,3,-0.515,24127,8,0.301,15849,5,0.373,9669,3,5.857,383,1,-1.015,29167,9,1.283,2519,1,1707,447,1132,128,1110.5,914251.3965,5900.008647
3451,E01003514,Newham 036C,Newham 036C,176888.0025,2698.285227,5315,2,Newham 036C,E09000025,Newham,36.673,5315,2,0.198,6791,3,0.155,6159,2,24.058,11314,4,0.59,8064,3,0.314,11721,4,55.12,65,1,21.443,14230,5,0.196,10354,4,0.319,3967,2,-0.324,21315,7,0.415,5856,2,0.009,15517,5,6.467,146,1,-1.018,29184,9,1.37,2133,1,1604,416,1028,160,1020.5,456136.0886,4330.975838
3452,E01003515,Newham 036D,Newham 036D,745198.7391,5914.013732,2533,1,Newham 036D,E09000025,Newham,47.7,2533,1,0.284,2747,1,0.169,5066,2,25.337,10653,4,0.833,5600,2,1.678,614,1,49.907,335,1,23.951,12453,4,0.329,3282,1,0.491,715,1,0.06,15073,5,0.39,7459,3,-0.741,27315,9,6.644,91,1,-0.499,23895,8,1.326,2309,1,1925,498,1190,237,1177.75,1921364.81,9493.943026
3453,E01003516,Newham 032C,Newham 032C,135691.2274,2462.792378,4284,2,Newham 032C,E09000025,Newham,39.917,4284,2,0.25,4038,2,0.159,5753,2,27.052,9799,3,0.48,9325,3,0.323,11598,4,51.721,166,1,28.578,9621,3,0.283,5154,2,0.487,744,1,0.06,15064,5,0.407,6370,2,-0.343,21613,7,6.512,130,1,-0.374,22193,7,1.602,1302,1,1909,494,1211,204,1196.5,349968.4611,3955.109433
3454,E01003517,Newham 036E,Newham 036E,274927.6623,3509.855286,2706,1,Newham 036E,E09000025,Newham,46.731,2706,1,0.284,2728,1,0.17,5000,2,20.305,13598,5,1.202,2857,1,1.269,1885,1,47.295,661,1,26.21,11039,4,0.34,2913,1,0.693,66,1,-0.098,17709,6,0.358,10013,4,-1.397,31845,10,6.498,132,1,-0.831,27615,9,1.666,1105,1,1757,446,1161,150,1125,709043.8418,5635.90459
3455,E01003518,Newham 032D,Newham 032D,179985.6336,2780.456087,12298,4,Newham 032D,E09000025,Newham,22.636,12298,4,0.118,13950,5,0.071,18577,6,14.172,18009,6,-0.334,21180,7,0.004,16609,6,55.575,54,1,21.309,14325,5,0.165,12690,4,0.173,12004,4,-0.458,23318,8,0.326,13166,5,0.48,8248,3,5.484,587,1,-0.922,28385,9,1.323,2325,1,1671,390,1124,157,1122.75,464196.8163,4465.870325
3456,E01003519,Newham 032E,Newham 032E,62522.66675,1309.792153,8298,3,Newham 032E,E09000025,Newham,29.409,8298,3,0.163,9400,3,0.096,13173,5,24.268,11201,4,0.146,13783,5,0.158,14196,5,52.351,134,1,24.425,12144,4,0.221,8688,3,0.346,3127,1,-0.024,16491,6,0.389,7502,3,-0.152,18386,6,6.324,191,1,-0.261,20535,7,1.182,3036,1,1618,343,1103,172,1092.5,161243.6553,2103.401238
3457,E01003520,Newham 018A,Newham 018A,132822.7597,2350.416948,9784,3,Newham 018A,E09000025,Newham,26.667,9784,3,0.147,10740,4,0.068,19217,6,15.055,17314,6,-0.562,24204,8,1.075,2963,1,50.015,316,1,27.189,10427,4,0.144,14636,5,0.392,2033,1,-0.269,20507,7,0.319,13852,5,-0.846,28441,9,6.742,66,1,-0.473,23547,8,1.563,1418,1,2173,455,1479,239,1483,342883.4523,3775.990014
3458,E01003521,Newham 018B,Newham 018B,134690.4688,2064.94854,8772,3,Newham 018B,E09000025,Newham,28.488,8772,3,0.1,16257,5,0.051,24531,8,13.164,18898,6,-0.505,23476,8,1.053,3128,1,50.999,217,1,61.302,568,1,0.12,17099,6,0.31,4320,2,-0.18,19074,6,0.286,17641,6,-1.028,30006,10,7.527,2,1,1.111,3041,1,1.882,601,1,2537,521,1786,230,1793,347668.7501,3317.650751
3459,E01003522,Newham 018C,Newham 018C,77153.17624,1217.95212,7371,3,Newham 018C,E09000025,Newham,31.365,7371,3,0.183,7793,3,0.083,15692,5,17.49,15473,5,0.021,15681,5,0.387,10646,4,55.523,56,1,41.69,3745,2,0.22,8734,3,0.391,2055,1,-0.047,16844,6,0.322,13577,5,-0.057,16661,6,6.646,89,1,0.665,7152,3,1.317,2358,1,1941,494,1243,204,1216,199152.6852,1956.906989
3460,E01003523,Newham 024A,Newham 024A,206376.9682,2683.456995,7292,3,Newham 024A,E09000025,Newham,31.507,7292,3,0.183,7801,3,0.108,11360,4,17.82,15259,5,0.12,14189,5,0.532,8650,3,50.47,269,1,31.777,7843,3,0.196,10348,4,0.376,2411,1,-0.107,17861,6,0.333,12424,4,-0.798,27952,9,6.788,55,1,-0.15,18845,6,1.654,1142,1,2073,467,1337,269,1312,532610.5563,4311.854813
3461,E01003524,Newham 019D,Newham 019D,88475.38594,1616.66789,8734,3,Newham 019D,E09000025,Newham,28.552,8734,3,0.147,10805,4,0.087,14783,5,22.598,12181,4,-0.655,25405,8,0.094,15222,5,49.397,406,1,49.404,2010,1,0.162,12955,4,0.309,4337,2,-0.118,18044,6,0.383,7970,3,-1.403,31861,10,6.879,38,1,0.805,5634,2,1.647,1164,1,2258,559,1475,224,1452.25,228354.8043,2597.368857
3462,E01003525,Newham 018D,Newham 018D,129302.2818,2200.470851,7708,3,Newham 018D,E09000025,Newham,30.664,7708,3,0.149,10617,4,0.061,21237,7,17.133,15716,5,-0.815,27165,9,1.282,1828,1,50.507,264,1,51.26,1704,1,0.191,10712,4,0.365,2666,1,-0.056,17004,6,0.319,13887,5,-0.901,28953,9,6.89,37,1,0.797,5724,2,1.798,785,1,2167,475,1475,217,1463.5,333719.9286,3534.831883
3463,E01003526,Newham 018E,Newham 018E,107246.2263,1969.098019,7996,3,Newham 018E,E09000025,Newham,30.073,7996,3,0.168,8969,3,0.094,13650,5,17.289,15608,5,0.073,14905,5,0.329,11503,4,51.547,173,1,36.339,5657,2,0.174,11967,4,0.416,1587,1,-0.18,19080,6,0.335,12191,4,-0.671,26470,9,6.893,36,1,0.251,12584,4,1.547,1472,1,1951,466,1277,208,1237.5,276778.9557,3162.900023
3464,E01003527,Newham 024B,Newham 024B,165211.9469,1835.104297,14394,5,Newham 024B,E09000025,Newham,19.947,14394,5,0.092,17572,6,0.063,20551,7,14.682,17602,6,-0.568,24294,8,0.211,13318,5,41.542,1765,1,37.79,5072,2,0.085,21576,7,0.211,9271,3,-0.371,22006,7,0.324,13337,5,-0.765,27592,9,5.414,637,1,0.481,9462,3,1.331,2294,1,2138,571,1324,243,1295.75,426319.3981,2947.237309
3465,E01003528,Newham 005A,Newham 005A,85361.8781,1904.969352,7853,3,Newham 005A,E09000025,Newham,30.372,7853,3,0.212,5983,2,0.115,10283,4,19.974,13776,5,-0.293,20546,7,-0.142,18759,6,55.136,63,1,21.134,14457,5,0.226,8331,3,0.48,793,1,-0.463,23383,8,0.386,7757,3,-0.129,17955,6,6.729,69,1,-0.552,24551,8,1.131,3320,2,1481,449,858,174,844.25,220432.8683,3060.3654
3466,E01003529,Newham 010A,Newham 010A,117271.3051,1965.179547,11784,4,Newham 010A,E09000025,Newham,23.37,11784,4,0.149,10573,4,0.067,19467,6,14.846,17463,6,-0.669,25575,8,-0.149,18878,6,50.354,280,1,31.17,8168,3,0.145,14532,5,0.409,1688,1,-0.968,29127,9,0.36,9872,4,-0.797,27946,9,6.758,60,1,0.186,13522,5,1.222,2817,1,2461,486,1666,309,1682,302816.6633,3157.351281
3467,E01003530,Newham 010B,Newham 010B,119055.5132,1543.750796,12818,4,Newham 010B,E09000025,Newham,21.945,12818,4,0.142,11285,4,0.07,18667,6,13.855,18288,6,-0.558,24153,8,-0.099,18119,6,48.698,483,1,23.696,12637,4,0.155,13634,5,0.391,2070,1,-0.788,27497,9,0.343,11455,4,-0.761,27540,9,6.472,144,1,-0.372,22167,7,1.217,2851,1,1842,394,1236,212,1226.75,307419.0233,2481.343118
3468,E01003531,Newham 010C,Newham 010C,223966.1233,2267.561836,8410,3,Newham 010C,E09000025,Newham,29.192,8410,3,0.183,7802,3,0.086,15096,5,14.232,17961,6,-0.307,20759,7,0.808,5326,2,49.383,408,1,32.977,7214,3,0.18,11509,4,0.404,1795,1,-0.805,27675,9,0.347,10999,4,-1.534,32178,10,6.897,34,1,0.101,14882,5,1.479,1700,1,2166,471,1421,274,1420.25,578244.8233,3643.731189
3469,E01003532,Newham 010D,Newham 010D,111116.2381,1631.117101,10613,4,Newham 010D,E09000025,Newham,25.259,10613,4,0.152,10320,4,0.069,18965,6,11.321,20596,7,-0.555,24131,8,0.546,8449,3,46.08,876,1,42.094,3635,2,0.136,15390,5,0.387,2160,1,-0.599,25230,8,0.303,15693,5,-1.537,32189,10,6.336,188,1,0.571,8309,3,1.518,1561,1,2084,439,1379,266,1369.75,286893.8273,2621.065963
3470,E01003533,Newham 011A,Newham 011A,113065.4315,1877.001088,9258,3,Newham 011A,E09000025,Newham,27.567,9258,3,0.158,9813,3,0.089,14503,5,16.616,16104,5,-0.221,19454,6,0.354,11103,4,47.505,628,1,38.197,4922,2,0.16,13114,4,0.335,3462,2,-0.461,23362,8,0.352,10543,4,-1.092,30436,10,6.456,147,1,0.57,8322,3,1.214,2870,1,2180,534,1348,298,1325.5,291898.6369,3015.317505
3471,E01003534,Newham 010E,Newham 010E,137843.3765,1758.247803,10661,4,Newham 010E,E09000025,Newham,25.169,10661,4,0.146,10825,4,0.076,17239,6,19.488,14091,5,-0.558,24160,8,-0.078,17808,6,49.546,383,1,35.745,5922,2,0.152,13891,5,0.284,5307,2,-0.384,22230,7,0.376,8545,3,-1.176,30909,10,6.828,46,1,0.396,10592,4,1.299,2435,1,2412,580,1573,259,1562.75,355978.4046,2825.122158
3472,E01003535,Newham 023A,Newham 023A,496203.7211,3923.358478,3580,2,Newham 023A,E09000025,Newham,42.56,3580,2,0.259,3655,2,0.171,4911,2,32.201,7740,3,0.453,9674,3,0.473,9436,3,53.111,105,1,29.988,8820,3,0.261,6293,2,0.455,1037,1,-0.201,19422,6,0.475,2962,1,-0.263,20289,7,6.619,98,1,-0.729,26622,9,1.898,578,1,1807,439,1166,202,1123.25,1280378.31,6299.720594
3473,E01003536,Newham 023B,Newham 023B,175039.319,2429.084968,8245,3,Newham 023B,E09000025,Newham,29.531,8245,3,0.178,8193,3,0.099,12687,4,21.691,12748,4,-0.151,18419,6,0.525,8730,3,46.549,794,1,33.755,6821,3,0.219,8844,3,0.293,4988,2,-0.005,16184,5,0.362,9677,3,-1.063,30238,10,6.289,201,1,0.138,14309,5,1.495,1647,1,1911,548,1194,169,1158.25,451610.5783,3899.936226
3474,E01003537,Newham 024C,Newham 024C,194110.9241,2544.136786,10573,4,Newham 024C,E09000025,Newham,25.312,10573,4,0.144,11074,4,0.072,18170,6,15.711,16820,6,-0.01,16168,5,0.16,14165,5,43.543,1311,1,42.354,3570,2,0.167,12532,4,0.278,5558,2,-0.559,24729,8,0.349,10796,4,-1.198,31021,10,5.882,369,1,0.654,7275,3,1.388,2046,1,2219,589,1419,211,1397.5,500826.9173,4085.18628
