FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,Shape_Leng,Shape__Are,Shape__Len,5min Bus Accessibility_LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,IMD_Shape__Area,IMD_Shape__Length
3365,E01003528,Newham 005A,,542962,184844,51.5444,0.060269,4e5cd327-9295-4026-84c7-1aeeaf70aecf,1965.712803,79663.2829,1965.712803,0.060269,31,232.7511477,0.36,0.64,15.82,44.9,7853,3,30.372,7853,3,0.212,5983,2,0.115,10283,4,19.974,13776,5,-0.293,20546,7,-0.142,18759,6,220432.8683,3060.3654
3412,E01003575,Newham 005B,,542792,185153,51.5472,0.057945,83ee8c77-d264-4ac1-83f3-741e57201a3a,2284.17757,147304.52,2284.17757,0.057945,41,145.7952017,0.21,0.79,20.895,44.9,8100,3,29.833,8100,3,0.195,6952,3,0.113,10617,4,26.712,9966,4,-0.43,22512,7,0.299,11936,4,378482.9271,3598.436041
3414,E01003577,Newham 005C,,543272,185919,51.554,0.065174,8d5577c8-b6b1-4c45-820e-d09f6f3f94c6,2459.354643,174715.6889,2459.354643,0.065174,22,277.7038104,0.43,0.57,11.285,44.9,4012,2,40.868,4012,2,0.251,3961,2,0.156,6025,2,23.405,11669,4,0.604,7878,3,0.585,7927,3,451043.8113,3769.922928
3417,E01003580,Newham 005D,,543316,185201,51.5475,0.065516,85beb7ee-a8a2-47a4-8ad0-ba95f89c6e02,2025.223577,223495.0629,2025.223577,0.065516,3.1,388.4818071,0.61,0.39,1.745,44.9,6741,3,32.832,6741,3,0.196,6907,3,0.115,10353,4,25.658,10484,4,-0.191,19010,6,0.288,12131,4,582366.6647,3187.054882
3382,E01003545,Newham 006A,,539867,185291,51.5492,0.015845,c73a971e-4e67-4a5b-9251-c04c9f143e42,2766.380855,169655.9249,2766.380855,0.015845,42,202.4027907,0.31,0.69,21.345,53.7,9504,3,27.152,9504,3,0.149,10612,4,0.094,13575,5,14.361,17860,6,0.127,14085,5,0.483,9300,3,441384.7891,4132.643233
3385,E01003548,Newham 006B,,539429,185445,51.5507,0.009593,28ed12b1-fde2-42c1-9a77-577936c3a7c8,3152.822924,230068.4264,3152.822924,0.009593,26,344.7586879,0.54,0.46,13.23,53.7,12546,4,22.286,12546,4,0.12,13715,5,0.062,20978,7,15.852,16701,6,-0.498,23400,8,0.346,11219,4,591074.0887,4881.646989
3386,E01003549,Newham 006C,,539569,185177,51.5482,0.011505,d1277b13-1267-4254-bac2-c420547ca945,2267.846897,118320.659,2267.846897,0.011505,66,138.0624538,0.2,0.8,33.4,53.7,10418,4,25.608,10418,4,0.145,10923,4,0.091,14114,5,14.224,17965,6,-0.078,17224,6,0.311,11768,4,308184.1995,3428.373728
3394,E01003557,Newham 006D,,539956,185060,51.5471,0.017036,a945d5c2-149f-4a46-b97b-ef2c55a73a88,2852.2375,176312.037,2852.2375,0.017036,75,160.2374688,0.24,0.76,37.88,53.7,5271,2,36.797,5271,2,0.203,6454,2,0.124,9217,3,11.364,20550,7,0.313,11448,4,1.101,2792,1,457165.2932,4401.310907
3384,E01003547,Newham 007A,,541032,185709,51.5527,0.032803,7d61b1df-caf4-4eb8-ae02-979f62b21b5e,2328.653402,178213.3824,2328.653402,0.032803,0,536.8490252,0.85,0.15,0.075,41.1,15291,5,18.936,15291,5,0.102,16025,5,0.082,15819,5,9.249,22624,7,-0.528,23776,8,-0.033,17192,6,458971.8019,3643.725641
3392,E01003555,Newham 007B,,541054,185293,51.5489,0.032953,298c6b23-31f3-42d0-abcb-e29b4d033fbc,2161.662427,168528.2625,2161.662427,0.032953,36,220.0459666,0.33,0.67,18.335,41.1,10282,4,25.848,10282,4,0.13,12531,4,0.076,17180,6,12.063,19884,7,-0.111,17756,6,0.87,4682,2,431879.1964,3414.415868
