FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,Points to Stations_HubDist,Points to Stations_Distance,Points to Stations_NormDist,Accessibility Index,No Car or vans in household(%),Index of Multiple Deprivation (IMD) Score,Income Score (rate),Income Decile,Employment Decile,Education Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,Income Rank
3331,E01003490,Newham 019C,,541886,183488,51.5325,0.044217,4.47,614.0133809,0.38,0.62,2.545,52,31,0.2,2,5,23.3,-0.1,49.8,30.6,5991
3357,E01003520,Newham 018A,,542150,184069,51.5376,0.048255,99.54,160.4123272,0.09,0.91,50.225,51,26.7,0.1,4,6,15.1,-0.6,50,27.2,10740
3358,E01003521,Newham 018B,,542572,183804,51.5351,0.054228,56.3,448.6705432,0.28,0.72,28.51,51,28.5,0.1,5,8,13.2,-0.5,51,61.3,16257
3359,E01003522,Newham 018C,,542194,183847,51.5356,0.048799,81.49,419.5433327,0.26,0.74,41.115,51,31.4,0.2,3,5,17.5,0,55.5,41.7,7793
3361,E01003524,Newham 019D,,542046,183617,51.5336,0.046574,0.06,710.2796735,0.44,0.56,0.31,52,28.6,0.1,4,5,22.6,-0.7,49.4,49.4,10805
3362,E01003525,Newham 018D,,542343,183605,51.5334,0.050849,0.89,723.8815508,0.45,0.55,0.72,51,30.7,0.1,4,7,17.1,-0.8,50.5,51.3,10617
3363,E01003526,Newham 018E,,542440,183342,51.531,0.05214,,878.2326573,0.55,0.45,0.225,51,30.1,0.2,3,5,17.3,0.1,51.5,36.3,8969
3360,E01003523,Newham 024A,,542718,183164,51.5294,0.056073,,954.9876218,0.6,0.4,0.2,41.9,31.5,0.2,3,4,17.8,0.1,50.5,31.8,7801
3379,E01003542,Newham 024D,,542955,182907,51.527,0.059383,,1404.572828,0.88,0.12,0.06,41.9,32.8,0.2,2,3,21.6,0.2,47.1,30,6064
3365,E01003528,Newham 005A,,542962,184844,51.5444,0.060269,,831.1655132,0.52,0.48,0.24,44.9,30.4,0.2,2,4,20,-0.3,55.1,21.1,5983
3366,E01003529,Newham 010A,,542389,184738,51.5436,0.051969,67.59,432.1461726,0.27,0.73,34.16,43.6,23.4,0.1,4,6,14.8,-0.7,50.4,31.2,10573
3367,E01003530,Newham 010B,,542756,184705,51.5432,0.057244,22.49,574.5786102,0.36,0.64,11.565,43.6,21.9,0.1,4,6,13.9,-0.6,48.7,23.7,11285
3369,E01003532,Newham 010D,,542506,184504,51.5415,0.05356,98.35,239.3617213,0.14,0.86,49.605,43.6,25.3,0.2,4,6,11.3,-0.6,46.1,42.1,10320
3371,E01003534,Newham 010E,,542433,185053,51.5464,0.05273,23.06,610.6334505,0.38,0.62,11.84,43.6,25.2,0.1,4,6,19.5,-0.6,49.5,35.7,10825
3454,E01003625,Newham 015A,,543141,184552,51.5417,0.06273,3.3,848.2992486,0.53,0.47,1.885,42.3,28.6,0.1,4,5,18,-0.3,56.8,39.2,11454
3455,E01003626,Newham 015B,,542883,184414,51.5406,0.058957,56.06,444.9944619,0.27,0.73,28.395,42.3,23.9,0.1,5,6,10.1,0,50.5,35.7,14855
3368,E01003531,Newham 010C,,542070,184413,51.5407,0.047241,88.13,285.5693156,0.17,0.83,44.48,43.6,29.2,0.2,3,5,14.2,-0.3,49.4,33,7802
3456,E01003627,Newham 015C,,542891,184141,51.5381,0.058961,56.43,439.0318603,0.27,0.73,28.58,42.3,28.4,0.2,3,5,18.6,0.2,46.7,31,7119
3412,E01003575,Newham 005B,,542792,185153,51.5472,0.057945,,976.341387,0.61,0.39,0.195,44.9,29.8,0.2,3,4,26.7,-0.4,47.1,25.6,6952
3416,E01003579,Newham 004A,,542654,185397,51.5494,0.056055,11.45,662.5129819,0.41,0.59,6.02,49.5,28.5,0.2,4,5,29.4,-0.1,46.9,37.3,10513
3422,E01003585,Newham 004B,,542396,185452,51.55,0.052359,55.97,485.2465501,0.3,0.7,28.335,49.5,28,0.2,4,6,25,0,51.3,29,9991
3424,E01003587,Newham 004C,,542073,185263,51.5484,0.047627,100,117.1119132,0.07,0.93,50.465,49.5,28,0.2,3,5,15.9,-0.3,50,23.6,7185
3425,E01003588,Newham 011D,,541794,184904,51.5452,0.043461,94.35,390.5500444,0.24,0.76,47.555,40.9,29.2,0.2,3,5,19,0,51.5,30.5,7842
3426,E01003589,Newham 011E,,541975,184764,51.5439,0.046013,17.73,580.880398,0.36,0.64,9.185,40.9,26.8,0.2,3,6,19.7,-0.1,50.4,28.1,9187
3388,E01003551,Newham 009A,,540065,184741,51.5442,0.01848,10.2,672.6963456,0.42,0.58,5.39,58.9,35,0.2,3,4,10.9,0.9,52.5,33.7,8576
3389,E01003552,Newham 016A,,540201,184627,51.5431,0.020394,,761.7362479,0.47,0.53,0.265,47.7,29.8,0.2,3,4,16.3,-0.1,47.9,37.5,8444
3390,E01003553,Newham 009B,,539694,184821,51.545,0.013165,50.04,498.3428978,0.31,0.69,25.365,58.9,35.8,0.2,2,3,12.4,0.5,46.7,34.5,4955
3391,E01003554,Newham 009C,,539810,184489,51.542,0.014705,,706.1934114,0.44,0.56,0.28,58.9,21.9,0.1,5,7,10.7,-0.1,45,30.9,15162
3394,E01003557,Newham 006D,,539956,185060,51.5471,0.017036,52.92,459.0790724,0.28,0.72,26.82,53.7,36.8,0.2,2,3,11.4,0.3,51.2,39.5,6454
3395,E01003558,Newham 008B,,540432,184873,51.5453,0.023821,59.33,450.8848274,0.28,0.72,30.025,51.2,38.3,0.2,2,4,24,0.2,50.4,36.2,5724
3386,E01003549,Newham 006C,,539569,185177,51.5482,0.011505,82.4,352.5435961,0.22,0.78,41.59,53.7,25.6,0.1,4,5,14.2,-0.1,48.3,25.8,10923
3396,E01003559,Newham 009D,,539403,184822,51.5451,0.008972,85.83,272.1327771,0.16,0.84,43.335,58.9,20.7,0.1,5,7,8.6,-0.1,46.9,29.7,15700
3448,E01003618,Newham 012C,,539288,184464,51.5419,0.007173,65.82,449.9433639,0.28,0.72,33.27,67,26.8,0.1,5,7,10.8,-0.3,44.2,52.5,13549
3464,E01003635,Newham 016D,,539940,184058,51.5381,0.016407,3.83,761.7877262,0.47,0.53,2.18,47.7,24.6,0.1,4,5,10.9,-0.5,43.5,28.1,12721
3465,E01003636,Newham 020E,,539385,184010,51.5378,0.008391,31.19,578.2330433,0.36,0.64,15.915,53,32.3,0.2,2,4,17,0.2,46.3,22.8,5941
3397,E01003560,Newham 011B,,541506,184826,51.5446,0.03928,16,587.2174831,0.36,0.64,8.32,40.9,28,0.2,3,4,21,-0.4,49.7,30,8277
3398,E01003561,Newham 007C,,541314,184910,51.5454,0.036547,17.14,696.2853747,0.43,0.57,8.855,41.1,23.7,0.1,4,6,17.6,-0.5,49.2,28.1,11323
3399,E01003562,Newham 014A,,541271,184571,51.5424,0.035791,,771.0791882,0.48,0.52,0.26,41.1,25.9,0.1,4,6,18.9,-0.5,52,35.1,11076
3400,E01003563,Newham 011C,,541583,184562,51.5422,0.040283,,797.3147133,0.5,0.5,0.25,40.9,27.1,0.2,3,5,25.6,-0.5,50,31.9,9162
3423,E01003586,Newham 003C,,541649,185146,51.5474,0.041469,96.38,255.3089065,0.15,0.85,48.615,45.7,30,0.2,3,5,20,0.1,48.3,36.4,8542
3370,E01003533,Newham 011A,,541735,184264,51.5395,0.042354,28.97,562.615455,0.35,0.65,14.81,40.9,27.6,0.2,3,5,16.6,-0.2,47.5,38.2,9813
3401,E01003564,Newham 014B,,541277,184340,51.5403,0.035785,30.96,516.7675505,0.32,0.68,15.82,48.3,27.4,0.2,3,5,14,-0.2,50.6,30,9503
3402,E01003565,Newham 014C,,541607,184076,51.5378,0.040434,71.22,429.1886814,0.26,0.74,35.98,48.3,25.4,0.2,3,7,14.1,0.1,49.8,28.7,9768
3392,E01003555,Newham 007B,,541054,185293,51.5489,0.032953,46.52,475.0872283,0.29,0.71,23.615,41.1,25.8,0.1,4,6,12.1,-0.1,44.7,36.7,12531
3393,E01003556,Newham 008A,,540576,185184,51.548,0.02602,99.36,237.2921491,0.14,0.86,50.11,51.2,42.3,0.3,2,3,21.6,0.2,49.6,41.7,3809
3404,E01003567,Newham 007D,,541122,184960,51.5459,0.0338,2.98,730.0265914,0.45,0.55,1.765,41.1,32.1,0.2,2,4,22.4,0,49.6,32.1,6105
3407,E01003570,Newham 008C,,540807,184874,51.5452,0.029226,26.27,549.6500407,0.34,0.66,13.465,51.2,31.3,0.2,3,5,22.6,0.1,50.7,35.5,9322
3408,E01003571,Newham 008D,,540839,184672,51.5434,0.029606,,792.3418861,0.49,0.51,0.255,51.2,28,0.2,3,5,16.8,0,51.6,24.9,8288
3411,E01003574,Newham 017D,,540584,184186,51.5391,0.025737,6.24,730.0124249,0.45,0.55,3.395,47.2,29.3,0.2,3,5,17.5,-0.1,50.3,35.7,7772
3429,E01003592,Newham 022B,,540602,183403,51.532,0.025685,30.01,563.3073616,0.35,0.65,15.33,52.7,34.4,0.2,3,4,15.4,0.6,47.4,37.3,6664
3433,E01003596,Newham 016B,,540174,183795,51.5357,0.019674,31.71,588.0941094,0.36,0.64,16.175,47.7,25.2,0.1,4,6,18,0.1,48,28,10897
3434,E01003597,Newham 016C,,540535,183731,51.535,0.02485,16.47,615.4637272,0.38,0.62,8.545,47.7,25.7,0.2,3,6,18.3,-0.3,48.6,27.7,8831
3410,E01003573,Newham 017C,,540979,184338,51.5403,0.03149,11.71,639.5705719,0.4,0.6,6.155,47.2,27.1,0.1,4,5,20.1,0.2,50,30.1,10781
3409,E01003572,Newham 008E,,540555,184464,51.5416,0.025431,,865.2900492,0.54,0.46,0.23,51.2,27.8,0.2,3,4,20,-0.1,47.3,24.5,7849
3413,E01003576,Newham 002A,,542934,185981,51.5546,0.060327,,1037.684033,0.65,0.35,0.175,47.3,38.1,0.2,2,3,25.3,0.3,49.8,29.2,5062
3415,E01003578,Newham 003A,,542324,186274,51.5574,0.051653,10.08,688.1305559,0.43,0.57,5.325,45.7,26.2,0.1,4,7,24.1,-0.2,49.5,38.4,12550
3418,E01003581,Newham 002B,,542735,185695,51.5521,0.057343,,757.142901,0.47,0.53,0.265,47.3,26.8,0.1,4,6,24.7,-0.4,49.8,33.6,10807
3419,E01003582,Newham 002C,,543098,185587,51.551,0.062531,,1105.556581,0.69,0.31,0.155,47.3,30.9,0.2,3,4,26.7,-0.2,47.8,30.3,6823
3420,E01003583,Newham 002D,,542961,185391,51.5493,0.060477,,988.4980339,0.62,0.38,0.19,47.3,28.5,0.2,3,5,21.1,0,47.8,37.1,8742
3414,E01003577,Newham 005C,,543272,185919,51.554,0.065174,,1290.574482,0.81,0.19,0.095,44.9,40.9,0.3,2,2,23.4,0.6,53.5,28.9,3961
3417,E01003580,Newham 005D,,543316,185201,51.5475,0.065516,,1290.19887,0.81,0.19,0.095,44.9,32.8,0.2,3,4,25.7,-0.2,50.3,37.2,6907
3428,E01003591,Newham 004D,,542150,185588,51.5513,0.048868,100,183.2232059,0.11,0.89,50.445,49.5,34.1,0.2,2,4,23.4,-0.1,51.7,38.2,6082
3431,E01003594,Newham 026A,,540164,182948,51.5281,0.019193,57.46,444.4193666,0.27,0.73,29.095,51.4,29.2,0.2,3,4,14.9,0,49.3,26.6,7294
3432,E01003595,Newham 026B,,540420,183102,51.5294,0.022943,87.12,368.2447544,0.23,0.77,43.945,51.4,29.8,0.2,3,4,18.5,0.3,48.4,32.8,7798
