FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,Shape_Leng,Shape__Are,Shape__Len,5min Bus Accessibility_LONG,Coverage_p,HubDist,Distance,NormDist,Acc,No Car or vans in household(%),IMD_Rank,Decile,IMDScore
3398,E01003561,Newham 007C,,541314,184910,51.5454,0.036547,83086a89-0b0e-460d-a8ab-b5aef563332d,2194.416272,79551.92329,2194.416272,0.036547,92,61.27709682,0.07,0.93,46.465,41.1,11544,4,23.743
3404,E01003567,Newham 007D,,541122,184960,51.5459,0.0338,5106b813-e351-4f80-896b-ec23750ecc4e,1663.375086,98159.67957,1663.375086,0.0338,92,153.1899438,0.22,0.78,46.39,41.1,7033,3,32.133
3393,E01003556,Newham 008A,,540576,185184,51.548,0.02602,086cd3cd-60bd-4cc6-8158-f91d08248aa4,2115.949436,138028.7688,2115.949436,0.02602,74,117.134765,0.17,0.83,37.415,51.2,3646,2,42.29
3395,E01003558,Newham 008B,,540432,184873,51.5453,0.023821,de6093cc-663b-4610-a8a8-84c635cf544c,2242.601808,150344.8925,2242.601808,0.023821,85,111.2820766,0.16,0.84,42.92,51.2,4804,2,38.255
3407,E01003570,Newham 008C,,540807,184874,51.5452,0.029226,2508a3df-4aa3-4c37-83f6-cfe1293f6bdc,1818.724733,102583.0207,1818.724733,0.029226,81,183.3874223,0.27,0.73,40.865,51.2,7384,3,31.336
3408,E01003571,Newham 008D,,540839,184672,51.5434,0.029606,703e5e8d-cb50-419e-a30b-ac76bc11dcca,1991.708032,105063.8665,1991.708032,0.029606,69,201.3621329,0.3,0.7,34.85,51.2,9039,3,27.983
3409,E01003572,Newham 008E,,540555,184464,51.5416,0.025431,048cd9b6-4863-4271-980b-e9bd517a6293,1662.724723,93765.97794,1662.724723,0.025431,88,54.00450391,0.06,0.94,44.47,51.2,9158,3,27.781
3388,E01003551,Newham 009A,,540065,184741,51.5442,0.01848,8d2a7ad6-6d56-42a5-b498-8915408e38f3,1717.3069,95354.01312,1717.3069,0.01848,65,141.4399579,0.21,0.79,32.895,58.9,5894,2,34.983
3390,E01003553,Newham 009B,,539694,184821,51.545,0.013165,be551d7d-c3b1-4e97-880e-dcce7bcbc766,1900.108169,104076.3767,1900.108169,0.013165,74,120.3320959,0.17,0.83,37.415,58.9,5596,2,35.838
3391,E01003554,Newham 009C,,539810,184489,51.542,0.014705,69335914-c265-4dc8-bfa0-c2e413e62fe9,1849.64639,97792.53904,1849.64639,0.014705,21,220.956902,0.34,0.66,10.83,58.9,12839,4,21.902
3396,E01003559,Newham 009D,,539403,184822,51.5451,0.008972,0652f86a-563f-4c65-b4b7-2d83016840a9,2542.630518,154925.4576,2542.630518,0.008972,90,77.90378583,0.1,0.9,45.45,58.9,13767,5,20.714
3366,E01003529,Newham 010A,,542389,184738,51.5436,0.051969,14922776-c369-40be-bff7-746a64787f4b,2070.172669,117871.1451,2070.172669,0.051969,83,117.298754,0.17,0.83,41.915,43.6,11784,4,23.37
3367,E01003530,Newham 010B,,542756,184705,51.5432,0.057244,72baffb8-0cca-457f-952c-48f8611f9c6d,1615.823317,120731.1654,1615.823317,0.057244,48,180.2725442,0.27,0.73,24.365,43.6,12818,4,21.945
3368,E01003531,Newham 010C,,542070,184413,51.5407,0.047241,c0882768-10c7-45af-bb93-d65624ff3fb2,2412.356332,222401.0347,2412.356332,0.047241,70,92.54768373,0.13,0.87,35.435,43.6,8410,3,29.192
3369,E01003532,Newham 010D,,542506,184504,51.5415,0.05356,648e0129-436c-4231-a9a4-92dc7b45d9db,1746.925609,111865.9545,1746.925609,0.05356,95,86.42842079,0.12,0.88,47.94,43.6,10613,4,25.259
3371,E01003534,Newham 010E,,542433,185053,51.5464,0.05273,4a9aacf2-f8e4-475d-81aa-28b7fce7474e,1817.606305,137215.3385,1817.606305,0.05273,58,209.8462163,0.32,0.68,29.34,43.6,10661,4,25.169
