FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,CAI,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score
3325,E01003484,Newham 032B,,542576,181891,51.5179,0.053513,23.8,581.7077677,0.36,0.64,12.22,0.2444,39.6,12241,4,22.723,12241,4,6,12.5,-0.2,48.7,20.4
3353,E01003516,Newham 032C,,541339,181704,51.5166,0.035622,,777.3790987,0.48,0.52,0.26,0.0052,39.6,4284,2,39.917,4284,2,2,27.1,0.5,51.7,28.6
3355,E01003518,Newham 032D,,541604,181531,51.515,0.039369,,814.955829,0.51,0.49,0.245,0.0049,39.6,12298,4,22.636,12298,4,6,14.2,-0.3,55.6,21.3
3356,E01003519,Newham 032E,,541249,181495,51.5147,0.034242,30.33,564.8442659,0.35,0.65,15.49,0.3098,39.6,8298,3,29.409,8298,3,5,24.3,0.1,52.4,24.4
3322,E01003480,Newham 033A,,543539,180983,51.5095,0.067013,100,167.6064877,0.1,0.9,50.45,1.009,39.9,11375,4,24.019,11375,4,6,22.1,-0.3,53,19.1
3327,E01003486,Newham 033C,,543008,181564,51.5149,0.059602,94.4,109.0056304,0.06,0.94,47.67,0.9534,45.9,2519,1,47.765,2519,1,1,27.8,0.6,48.6,21.5
3328,E01003487,Newham 033D,,543528,181458,51.5138,0.067048,75.44,391.3985803,0.24,0.76,38.1,0.762,45.9,3338,2,43.594,3338,2,1,29,0.7,48.2,17
32244,E01034205,Newham 033E,,544253,182297,51.5212,0.077831,9.63,1322.10011,0.83,0.17,4.9,0.098,45.9,9464,3,27.209,9464,3,,,,,
32245,E01034206,Newham 033F,,544481,181408,51.5131,0.080751,21.82,811.2887277,0.51,0.49,11.155,0.2231,45.9,9464,3,27.209,9464,3,,,,,
32246,E01034207,Newham 033G,,544028,180743,51.5073,0.073956,91.13,186.5731123,0.11,0.89,46.01,0.9202,39.9,9464,3,27.209,9464,4,,,,,
3337,E01003497,Newham 034A,,538951,181936,51.5193,0.00132,70.21,247.2827823,0.15,0.85,35.53,0.7106,63.1,6552,2,33.279,6552,2,4,26.4,0.3,47.4,27.9
3344,E01003506,Newham 034D,,540406,181014,51.5106,0.02191,100,232.2876095,0.14,0.86,50.43,1.0086,63.1,3005,1,45.294,3005,1,2,23.2,0.9,51.4,23.6
31673,E01033584,Newham 034I,,540063,181147,51.5119,0.017023,93.56,321.0385551,0.2,0.8,47.18,0.9436,63.1,3844,2,41.55,3844,2,3,22.8,0.6,52.1,22.8
32247,E01034208,Newham 034J,,539829,181423,51.5144,0.013763,70.61,409.5521487,0.25,0.75,35.68,0.7136,63.1,3823,2,41.668,3823,2,,,,,
32248,E01034209,Newham 034K,,539606,181321,51.5136,0.010511,99,12.01033743,0,1,50,1,63.1,3823,2,41.668,3823,2,,,,,
32249,E01034210,Newham 034L,,539891,180958,51.5102,0.014471,100,156.7698826,0.09,0.91,50.455,1.0091,63.1,11093,4,24.456,11093,4,,,,,
32250,E01034211,Newham 034M,,539675,180778,51.5087,0.011289,79.66,484.7211837,0.3,0.7,40.18,0.8036,63.1,11093,4,24.456,11093,4,,,,,
32251,E01034212,Newham 034N,,540285,180688,51.5077,0.020037,100,231.1475599,0.14,0.86,50.43,1.0086,63.1,15620,5,18.55,15620,5,,,,,
3321,E01003479,Newham 035A,,542478,181238,51.5121,0.051837,90.8,344.7251688,0.21,0.79,45.795,0.9159,39.9,7984,3,30.088,7984,3,4,14.2,-0.5,63.9,23.1
3323,E01003481,Newham 035B,,542903,181059,51.5104,0.057885,100,192.2470768,0.11,0.89,50.445,1.0089,39.9,8693,3,28.627,8693,3,4,19.4,0.3,64.2,15.5
3326,E01003485,Newham 035C,,542352,181536,51.5148,0.050143,3.74,751.5448703,0.47,0.53,2.135,0.0427,39.9,11327,4,24.091,11327,4,6,14.8,-0.1,49.3,19
3350,E01003513,Newham 035D,,541939,181383,51.5135,0.044134,55.02,402.7822837,0.25,0.75,27.885,0.5577,39.9,12640,4,22.174,12640,4,7,11.7,-0.4,56.4,20.4
3348,E01003511,Newham 036A,,540263,181466,51.5147,0.02003,10.38,605.448303,0.38,0.62,5.5,0.11,48.1,5790,2,35.284,5790,2,4,26.7,0.6,49.8,21.4
3349,E01003512,Newham 036B,,541060,181376,51.5137,0.031472,83.21,410.9160409,0.25,0.75,41.98,0.8396,48.1,5783,2,35.298,5783,2,3,24.9,0.3,48.5,26.3
3351,E01003514,Newham 036C,,541514,181242,51.5124,0.037957,74.93,437.4501418,0.27,0.73,37.83,0.7566,48.1,5315,2,36.673,5315,2,2,24.1,0.6,55.1,21.4
3352,E01003515,Newham 036D,,541249,180905,51.5094,0.034006,99.61,71.92038994,0.04,0.96,50.285,1.0057,48.1,2533,1,47.7,2533,1,2,25.3,0.8,49.9,24
3354,E01003517,Newham 036E,,540702,181629,51.5161,0.026417,32.85,561.9671335,0.35,0.65,16.75,0.335,48.1,2706,1,46.731,2706,1,2,20.3,1.2,47.3,26.2
32252,E01034213,Newham 038A,,537786,185247,51.5493,-0.01417,36.42,522.277787,0.32,0.68,18.55,0.371,68.3,9402,3,27.315,9402,3,,,,,
32253,E01034214,Newham 038B,,538086,185070,51.5476,-0.00991,100,194.6749331,0.12,0.88,50.44,1.0088,68.3,9402,3,27.315,9402,3,,,,,
32254,E01034215,Newham 038C,,538244,185039,51.5473,-0.00765,100,176.818741,0.1,0.9,50.45,1.009,68.3,9402,3,27.315,9402,3,,,,,
32255,E01034216,Newham 038D,,538370,184909,51.5461,-0.00588,100,225.6140898,0.14,0.86,50.43,1.0086,68.3,9402,3,27.315,9402,3,,,,,
32256,E01034217,Newham 038E,,537941,184700,51.5443,-0.01215,95.6,253.4686415,0.15,0.85,48.225,0.9645,68.3,9402,3,27.315,9402,3,,,,,
3446,E01003615,Newham 039A,,538925,185401,51.5504,0.002312,44.66,505.6581521,0.31,0.69,22.675,0.4535,66.2,9394,3,27.328,9394,3,5,12.3,0.2,47.2,33.4
32257,E01034218,Newham 039B,,538294,185297,51.5496,-0.00682,46.47,492.7833332,0.3,0.7,23.585,0.4717,66.2,9402,3,27.315,9402,3,,,,,
32258,E01034219,Newham 039C,,538631,184823,51.5453,-0.00215,99.41,227.2413522,0.14,0.86,50.135,1.0027,66.2,9402,3,27.315,9402,3,,,,,
32259,E01034220,Newham 039D,,538390,184501,51.5424,-0.00575,100,114.9359242,0.07,0.93,50.465,1.0093,66.2,9402,3,27.315,9402,3,,,,,
32260,E01034221,Newham 039E,,538379,184026,51.5382,-0.0061,100,308.7304083,0.19,0.81,50.405,1.0081,66.2,9402,3,27.315,9402,3,,,,,
32261,E01034222,Newham 040A,,537952,183980,51.5379,-0.01227,66.33,388.165857,0.24,0.76,33.545,0.6709,70.8,9454,3,27.216,9454,3,,,,,
32262,E01034223,Newham 040B,,538393,183640,51.5347,-0.00605,81.85,499.0178597,0.31,0.69,41.27,0.8254,70.8,9454,3,27.216,9454,3,,,,,
31669,E01033579,Newham 040C,,537880,183346,51.5322,-0.01355,85.62,106.4130077,0.06,0.94,43.28,0.8656,70.8,13477,5,21.114,13477,5,10,7.2,-0.1,55.9,48.1
31674,E01033586,Newham 040D,,538630,183273,51.5313,-0.00278,60.06,464.6876835,0.29,0.71,30.385,0.6077,70.8,6075,2,34.463,6075,2,4,11.6,0.1,57.3,54
31671,E01033581,Newham 041A,,543164,180295,51.5035,0.061334,92.72,340.5059579,0.21,0.79,46.755,0.9351,48.8,5906,2,34.941,5906,2,4,14.2,0.5,56.1,22.4
31672,E01033582,Newham 041B,,543829,179993,51.5006,0.070785,17.7,691.8965603,0.43,0.57,9.135,0.1827,48.8,19333,6,14.606,19333,6,10,6.8,-0.6,51.8,23.9
3445,E01003611,Newham 041C,,543253,179952,51.5004,0.062476,100,183.6995465,0.11,0.89,50.445,1.0089,48.8,7348,3,31.396,7348,3,3,18.5,0.2,45.5,15.6
32263,E01034224,Newham 041D,,542100,180035,51.5014,0.045909,54.12,399.1583897,0.24,0.76,27.44,0.5488,48.8,12030,4,23.035,12030,4,,,,,
31670,E01033580,Newham 042A,,540729,180295,51.5041,0.026274,100,198.8905435,0.12,0.88,50.44,1.0088,60.1,25889,8,8.919,25889,8,10,5,-0.4,37,14.8
32264,E01034225,Newham 042B,,541442,180222,51.5032,0.036511,95.13,162.2835325,0.09,0.91,48.02,0.9604,60.1,12030,4,23.035,12030,4,,,,,
32265,E01034226,Newham 042C,,541453,180028,51.5015,0.036591,100,240.1206735,0.14,0.86,50.43,1.0086,60.1,12030,4,23.035,12030,4,,,,,
32266,E01034227,Newham 042D,,540832,180017,51.5015,0.027646,100,328.0502392,0.2,0.8,50.4,1.008,60.1,15262,5,18.966,15262,5,,,,,
32267,E01034228,Newham 042E,,541142,179944,51.5008,0.03208,100,208.1744016,0.12,0.88,50.44,1.0088,60.1,15262,5,18.966,15262,5,,,,,
32268,E01034229,Newham 042F,,540348,180091,51.5023,0.020707,64.04,263.6241904,0.16,0.84,32.44,0.6488,60.1,15262,5,18.966,15262,5,,,,,
32269,E01034230,Newham 042G,,540782,179864,51.5002,0.026865,97.75,404.1377002,0.25,0.75,49.25,0.985,60.1,15262,5,18.966,15262,5,,,,,
32270,E01034231,Newham 042H,,541278,179820,51.4997,0.033988,46.96,459.8696146,0.28,0.72,23.84,0.4768,60.1,15262,5,18.966,15262,5,,,,,
