FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,CAI,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score
3409,E01003572,Newham 008E,,540555,184464,51.5416,0.025431,,865.2900492,0.54,0.46,0.23,0.0046,51.2,9158,3,27.781,9158,3,4,20,-0.1,47.3,24.5
3388,E01003551,Newham 009A,,540065,184741,51.5442,0.01848,10.2,672.6963456,0.42,0.58,5.39,0.1078,58.9,5894,2,34.983,5894,2,4,10.9,0.9,52.5,33.7
3390,E01003553,Newham 009B,,539694,184821,51.545,0.013165,50.04,498.3428978,0.31,0.69,25.365,0.5073,58.9,5596,2,35.838,5596,2,3,12.4,0.5,46.7,34.5
3391,E01003554,Newham 009C,,539810,184489,51.542,0.014705,,706.1934114,0.44,0.56,0.28,0.0056,58.9,12839,4,21.902,12839,4,7,10.7,-0.1,45,30.9
3396,E01003559,Newham 009D,,539403,184822,51.5451,0.008972,85.83,272.1327771,0.16,0.84,43.335,0.8667,58.9,13767,5,20.714,13767,5,7,8.6,-0.1,46.9,29.7
3366,E01003529,Newham 010A,,542389,184738,51.5436,0.051969,67.59,432.1461726,0.27,0.73,34.16,0.6832,43.6,11784,4,23.37,11784,4,6,14.8,-0.7,50.4,31.2
3367,E01003530,Newham 010B,,542756,184705,51.5432,0.057244,22.49,574.5786102,0.36,0.64,11.565,0.2313,43.6,12818,4,21.945,12818,4,6,13.9,-0.6,48.7,23.7
3368,E01003531,Newham 010C,,542070,184413,51.5407,0.047241,88.13,285.5693156,0.17,0.83,44.48,0.8896,43.6,8410,3,29.192,8410,3,5,14.2,-0.3,49.4,33
3369,E01003532,Newham 010D,,542506,184504,51.5415,0.05356,98.35,239.3617213,0.14,0.86,49.605,0.9921,43.6,10613,4,25.259,10613,4,6,11.3,-0.6,46.1,42.1
3371,E01003534,Newham 010E,,542433,185053,51.5464,0.05273,23.06,610.6334505,0.38,0.62,11.84,0.2368,43.6,10661,4,25.169,10661,4,6,19.5,-0.6,49.5,35.7
3370,E01003533,Newham 011A,,541735,184264,51.5395,0.042354,28.97,562.615455,0.35,0.65,14.81,0.2962,40.9,9258,3,27.567,9258,3,5,16.6,-0.2,47.5,38.2
3397,E01003560,Newham 011B,,541506,184826,51.5446,0.03928,16,587.2174831,0.36,0.64,8.32,0.1664,40.9,9022,3,28.024,9022,3,4,21,-0.4,49.7,30
3400,E01003563,Newham 011C,,541583,184562,51.5422,0.040283,,797.3147133,0.5,0.5,0.25,0.005,40.9,9532,3,27.104,9532,3,5,25.6,-0.5,50,31.9
3425,E01003588,Newham 011D,,541794,184904,51.5452,0.043461,94.35,390.5500444,0.24,0.76,47.555,0.9511,40.9,8411,3,29.189,8411,3,5,19,0,51.5,30.5
3426,E01003589,Newham 011E,,541975,184764,51.5439,0.046013,17.73,580.880398,0.36,0.64,9.185,0.1837,40.9,9696,3,26.805,9696,3,6,19.7,-0.1,50.4,28.1
