lsoa21cd,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
E01003489,"9","9",3311.147,17026.87,13715.723,120640.006,13404.4451111111,14837.159,4095.68403998764,3311.147,3311.147,11739.538,16553.696,4814.158
E01003491,"9","9",6339.829,14650.016,8310.187,95002.944,10555.8826666667,10440.33,2878.27392016516,6339.829,6339.829,8141.098,13002.356,4861.258
E01003496,"13","13",1683.339,32141.536,30458.197,189533.344,14579.488,13528.16,7404.97996248265,1683.339,1683.339,12428.777,15907.187,3478.41
E01003506,"13","13",821.66,19481.765,18660.105,106345.67,8180.43615384615,7139.307,5704.16204578128,821.66,821.66,4852.072,8843.588,3991.516
E01003511,"1","1",9526.407,9526.407,0,9526.407,9526.407,9526.407,0,9526.407,9526.407,9526.407,9526.407,0
E01003519,"1","1",18876.912,18876.912,0,18876.912,18876.912,18876.912,0,18876.912,18876.912,18876.912,18876.912,0
E01003522,"4","4",277.026,38936.984,38659.958,63729.803,15932.45075,12257.8965,14715.951115668,277.026,277.026,3418.5295,28446.372,25027.8425
E01003524,"1","1",54.55,54.55,0,54.55,54.55,54.55,0,54.55,54.55,54.55,54.55,0
E01003530,"3","3",23.159,23119.43,23096.271,27146.605,9048.86833333333,4004.016,10081.2477675208,23.159,23.159,2013.5875,13561.723,11548.1355
E01003532,"8","8",6442.283,18960.404,12518.121,110016.625,13752.078125,14522.493,3765.86724547004,6442.283,6442.283,11352.9615,16431.5145,5078.553
E01003534,"3","3",643.305,23180.336,22537.031,31636.124,10545.3746666667,7812.483,9401.45251969228,643.305,643.305,4227.894,15496.4095,11268.5155
E01003551,"2","2",990.728,8733.438,7742.71,9724.166,4862.083,4862.083,3871.355,990.728,990.728,990.728,8733.438,7742.71
E01003553,"3","3",1198.025,36595.343,35397.318,52077.419,17359.1396666667,14284.051,14613.5703629464,1198.025,1198.025,7741.038,25439.697,17698.659
E01003560,"2","2",10.381,12692.233,12681.852,12702.614,6351.307,6351.307,6340.926,10.381,10.381,10.381,12692.233,12681.852
E01003565,"5","5",611.835,28406.449,27794.614,64272.799,12854.5598,11250.541,9655.1299782158,611.835,611.835,6071.748,17932.226,11860.478
E01003566,"9","9",2761.414,15260.663,12499.249,97278.211,10808.6901111111,12588.3,4398.46487837087,2761.414,2761.414,10237.793,13646.56,3408.767
E01003567,"1","1",2928.06,2928.06,0,2928.06,2928.06,2928.06,0,2928.06,2928.06,2928.06,2928.06,0
E01003568,"7","7",2301.815,36731.834,34430.019,105389.169,15055.5955714286,12355.695,10669.3702933565,2301.815,2301.815,7868.1115,19131.801,11263.6895
E01003569,"9","9",8151.708,16024.557,7872.849,104391.825,11599.0916666667,10923.645,2816.39686437938,8151.708,8151.708,9542.6,14059.41,4516.81
E01003570,"3","3",300.138,20513.601,20213.463,26950.771,8983.59033333333,6137.032,8494.04467345188,300.138,300.138,3218.585,13325.3165,10106.7315
E01003585,"2","2",6991.168,33827.246,26836.078,40818.414,20409.207,20409.207,13418.039,6991.168,6991.168,6991.168,33827.246,26836.078
E01003588,"3","3",5343.718,39829.235,34485.517,70287.269,23429.0896666667,25114.316,14128.9941027954,5343.718,5343.718,15229.017,32471.7755,17242.7585
E01003589,"2","2",9856.742,14514.24,4657.498,24370.982,12185.491,12185.491,2328.749,9856.742,9856.742,9856.742,14514.24,4657.498
E01003593,"7","7",4752.507,22520.582,17768.075,108904.267,15557.7524285714,18041.795,5872.7789152233,4752.507,4752.507,13210.086,18584.6055,5374.5195
E01003597,"3","3",270.128,11958.367,11688.239,14769.106,4923.03533333333,2540.611,5060.34860514071,270.128,270.128,1405.3695,7249.489,5844.1195
E01003598,"6","6",869.182,18287.353,17418.171,70171.353,11695.2255,12941.6185,6103.16163015921,869.182,869.182,7321.352,17810.229,10488.877
E01003607,"1","1",518.578,518.578,0,518.578,518.578,518.578,0,518.578,518.578,518.578,518.578,0
E01003626,"7","7",1022.817,23318.602,22295.785,57498.178,8214.02542857143,5787.151,6653.65047690308,1022.817,1022.817,5133.075,8551.729,3418.654
E01003627,"7","7",505.215,20588.285,20083.07,43043.461,6149.06585714286,3620.077,6184.40807404334,505.215,505.215,3425.685,5739.257,2313.572
E01003629,"6","6",1261.505,19065.833,17804.328,64077.897,10679.6495,10937.129,6183.7488754402,1261.505,1261.505,5387.109,16489.192,11102.083
E01003633,"7","7",994.035,21551.613,20557.578,89181.568,12740.224,12608.471,6577.76166057636,994.035,994.035,9250.8665,17762.858,8511.9915
E01003634,"9","9",362.697,36344.392,35981.695,145287.516,16143.0573333333,13966.3,12840.3988783821,362.697,362.697,2036.151,26700.678,24664.527
E01034200,"26","26",193.459,16307.971,16114.512,127176.693,4891.41126923077,4551.193,3078.10648114016,193.459,193.459,3767.462,4985.725,1218.263
E01034201,"3","3",1219.893,10256.017,9036.124,18677.091,6225.697,7201.181,3752.91540108363,1219.893,1219.893,4210.537,8728.599,4518.062
E01034203,"1","1",7347.153,7347.153,0,7347.153,7347.153,7347.153,0,7347.153,7347.153,7347.153,7347.153,0
E01034214,"5","5",235.148,13707.385,13472.237,35306.163,7061.2326,4960.401,5155.46967877413,235.148,235.148,4011.559,12391.67,8380.111
E01034215,"5","5",890.411,12448.241,11557.83,37412.401,7482.4802,8265.683,4106.72120711667,890.411,890.411,5143.343,10664.723,5521.38
E01034216,"7","7",582.16,13281.385,12699.225,63413.913,9059.13042857143,11102.208,4435.1192175274,582.16,582.16,6608.861,12615.219,6006.358
E01034223,"4","4",1516.707,38017.865,36501.158,49624.816,12406.204,5045.122,14867.0544599597,1516.707,1516.707,2892.351,21920.057,19027.706
E01034226,"4","4",1504.388,17676.113,16171.725,38804.287,9701.07175,9811.893,5860.48391035354,1504.388,1504.388,4751.9385,14650.205,9898.2665
E01034227,"5","5",7.618,29421.526,29413.908,45793.887,9158.7774,7908.939,10755.0697122601,7.618,7.618,114.159,8341.645,8227.486
E01034228,"4","4",18.25,32640.184,32621.934,64127.096,16031.774,15734.331,12069.3780187011,18.25,18.25,5370.538,26693.01,21322.472
E01034230,"3","3",601.809,20834.476,20232.667,41215.974,13738.658,19779.689,9299.13060955854,601.809,601.809,10190.749,20307.0825,10116.3335
E01003484,"2","2",1551.173,22527.384,20976.211,24078.557,12039.2785,12039.2785,10488.1055,1551.173,1551.173,1551.173,22527.384,20976.211
E01003490,"2","2",1400.76,3101.025,1700.265,4501.785,2250.8925,2250.8925,850.1325,1400.76,1400.76,1400.76,3101.025,1700.265
E01003521,"7","7",145.107,28372.524,28227.417,76733.188,10961.884,7447.878,9412.13663376676,145.107,145.107,3518.7905,16865.049,13346.2585
E01003529,"4","4",2197.851,52639.122,50441.271,79666.252,19916.563,12414.6395,19782.9295432914,2197.851,2197.851,4386.8945,35446.2315,31059.337
E01003533,"4","4",2587.562,18790.601,16203.039,33160.609,8290.15225,5891.223,6305.5815633608,2587.562,2587.562,3468.6175,13111.687,9643.0695
E01003555,"12","12",174.038,27267.111,27093.073,78404.909,6533.74241666667,4671.0295,6474.27529069483,174.038,174.038,4208.182,6344.264,2136.082
E01003556,"12","12",190.526,18965.077,18774.551,137139.097,11428.2580833333,14518.9105,6701.24313484179,190.526,190.526,4080.8835,16936.719,12855.8355
E01003561,"2","2",5.335,13627.403,13622.068,13632.738,6816.369,6816.369,6811.034,5.335,5.335,5.335,13627.403,13622.068
