FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,Bus Stops_HubDist,Distance,NormDist,Accessibility Index
3422,E01003585,Newham 004B,,542396,185452,51.55,0.052359,18,277.8548572,0.43,0.57,9.285
3424,E01003587,Newham 004C,,542073,185263,51.5484,0.047627,64,171.0548803,0.25,0.75,32.375
3425,E01003588,Newham 011D,,541794,184904,51.5452,0.043461,17,317.7081673,0.49,0.51,8.755
3426,E01003589,Newham 011E,,541975,184764,51.5439,0.046013,25,276.9477176,0.43,0.57,12.785
3388,E01003551,Newham 009A,,540065,184741,51.5442,0.01848,65,141.4399579,0.21,0.79,32.895
3389,E01003552,Newham 016A,,540201,184627,51.5431,0.020394,19,277.8549564,0.43,0.57,9.785
3390,E01003553,Newham 009B,,539694,184821,51.545,0.013165,74,120.3320959,0.17,0.83,37.415
3391,E01003554,Newham 009C,,539810,184489,51.542,0.014705,21,220.956902,0.34,0.66,10.83
3394,E01003557,Newham 006D,,539956,185060,51.5471,0.017036,75,160.2374688,0.24,0.76,37.88
3395,E01003558,Newham 008B,,540432,184873,51.5453,0.023821,85,111.2820766,0.16,0.84,42.92
3386,E01003549,Newham 006C,,539569,185177,51.5482,0.011505,66,138.0624538,0.2,0.8,33.4
3396,E01003559,Newham 009D,,539403,184822,51.5451,0.008972,90,77.90378583,0.1,0.9,45.45
3448,E01003618,Newham 012C,,539288,184464,51.5419,0.007173,71,62.5454918,0.08,0.92,35.96
3464,E01003635,Newham 016D,,539940,184058,51.5381,0.016407,45,199.37955,0.3,0.7,22.85
3465,E01003636,Newham 020E,,539385,184010,51.5378,0.008391,67,61.89273093,0.07,0.93,33.965
3397,E01003560,Newham 011B,,541506,184826,51.5446,0.03928,40,177.0290134,0.26,0.74,20.37
3398,E01003561,Newham 007C,,541314,184910,51.5454,0.036547,92,61.27709682,0.07,0.93,46.465
3399,E01003562,Newham 014A,,541271,184571,51.5424,0.035791,97,105.1969894,0.15,0.85,48.925
3400,E01003563,Newham 011C,,541583,184562,51.5422,0.040283,40,200.7040778,0.3,0.7,20.35
3423,E01003586,Newham 003C,,541649,185146,51.5474,0.041469,62,106.6171434,0.15,0.85,31.425
3370,E01003533,Newham 011A,,541735,184264,51.5395,0.042354,81,104.8551873,0.15,0.85,40.925
3401,E01003564,Newham 014B,,541277,184340,51.5403,0.035785,67,181.3291908,0.27,0.73,33.865
3402,E01003565,Newham 014C,,541607,184076,51.5378,0.040434,94,88.42974531,0.12,0.88,47.44
3392,E01003555,Newham 007B,,541054,185293,51.5489,0.032953,36,220.0459666,0.33,0.67,18.335
3393,E01003556,Newham 008A,,540576,185184,51.548,0.02602,74,117.134765,0.17,0.83,37.415
3404,E01003567,Newham 007D,,541122,184960,51.5459,0.0338,92,153.1899438,0.22,0.78,46.39
3407,E01003570,Newham 008C,,540807,184874,51.5452,0.029226,81,183.3874223,0.27,0.73,40.865
3408,E01003571,Newham 008D,,540839,184672,51.5434,0.029606,69,201.3621329,0.3,0.7,34.85
3411,E01003574,Newham 017D,,540584,184186,51.5391,0.025737,72,190.9000663,0.29,0.71,36.355
3429,E01003592,Newham 022B,,540602,183403,51.532,0.025685,20,274.8822562,0.42,0.58,10.29
3433,E01003596,Newham 016B,,540174,183795,51.5357,0.019674,78,31.25721445,0.02,0.98,39.49
3434,E01003597,Newham 016C,,540535,183731,51.535,0.02485,57,168.2828411,0.25,0.75,28.875
3410,E01003573,Newham 017C,,540979,184338,51.5403,0.03149,51,140.8247205,0.2,0.8,25.9
3409,E01003572,Newham 008E,,540555,184464,51.5416,0.025431,88,54.00450391,0.06,0.94,44.47
3413,E01003576,Newham 002A,,542934,185981,51.5546,0.060327,94,39.76040686,0.04,0.96,47.48
3415,E01003578,Newham 003A,,542324,186274,51.5574,0.051653,14,444.4110695,0.7,0.3,7.15
3418,E01003581,Newham 002B,,542735,185695,51.5521,0.057343,75,78.47842547,0.1,0.9,37.95
3419,E01003582,Newham 002C,,543098,185587,51.551,0.062531,50,175.546708,0.26,0.74,25.37
3420,E01003583,Newham 002D,,542961,185391,51.5493,0.060477,79,69.5323709,0.09,0.91,39.955
3414,E01003577,Newham 005C,,543272,185919,51.554,0.065174,22,277.7038104,0.43,0.57,11.285
3417,E01003580,Newham 005D,,543316,185201,51.5475,0.065516,3.1,388.4818071,0.61,0.39,1.745
3428,E01003591,Newham 004D,,542150,185588,51.5513,0.048868,87,16.28833639,0,1,44
3431,E01003594,Newham 026A,,540164,182948,51.5281,0.019193,79,214.5564381,0.33,0.67,39.835
3432,E01003595,Newham 026B,,540420,183102,51.5294,0.022943,84,116.4982109,0.16,0.84,42.42
3437,E01003600,Newham 021B,,540243,183339,51.5316,0.020487,89,74.04925536,0.09,0.91,44.955
3459,E01003630,Newham 021C,,539856,183533,51.5334,0.014988,90,54.42157677,0.06,0.94,45.47
3435,E01003598,Newham 021A,,540249,183620,51.5341,0.020685,70,142.2010099,0.21,0.79,35.395
3466,E01003637,Newham 021D,,539811,183780,51.5356,0.014438,51,186.8522732,0.28,0.72,25.86
3438,E01003601,Newham 028A,,541151,182162,51.5207,0.033097,65,95.29722624,0.13,0.87,32.935
3439,E01003602,Newham 026C,,540730,182460,51.5235,0.027152,92,103.1106057,0.14,0.86,46.43
3443,E01003607,Newham 026D,,540705,182910,51.5276,0.026972,97,41.44954196,0.04,0.96,48.98
32241,E01034202,Newham 022F,,540995,182984,51.5282,0.031179,65,157.5173586,0.23,0.77,32.885
3440,E01003603,Newham 028B,,541403,182628,51.5249,0.036914,77,161.7967738,0.24,0.76,38.88
3444,E01003608,Newham 028D,,541192,182719,51.5257,0.033911,19,272.6786467,0.42,0.58,9.79
3450,E01003621,Newham 023C,,543045,183806,51.535,0.061044,46,204.6305873,0.31,0.69,23.345
3451,E01003622,Newham 023D,,543459,183821,51.5351,0.067015,58,77.51475996,0.1,0.9,29.45
3452,E01003623,Newham 023E,,543560,183425,51.5315,0.068309,38,263.4450369,0.41,0.59,19.295
3457,E01003628,Newham 015D,,543160,184049,51.5372,0.0628,0,400.7627454,0.63,0.37,0.185
3458,E01003629,Newham 015E,,542671,184031,51.5372,0.055747,0,272.3840772,0.42,0.58,0.29
3462,E01003633,Newham 020C,,539394,183577,51.5339,0.008349,89,20.80592461,0.01,0.99,44.995
3463,E01003634,Newham 020D,,539072,183758,51.5356,0.003782,27,211.3266674,0.32,0.68,13.84
3449,E01003619,Newham 012D,,538893,184114,51.5388,0.001343,54,228.2537514,0.35,0.65,27.325
31674,E01033586,Newham 040D,,538630,183273,51.5313,-0.00278,8.8,490.2765133,0.78,0.22,4.51
32238,E01034199,Newham 012E,,538888,184896,51.5459,0.001579,82,150.7700632,0.22,0.78,41.39
32239,E01034200,Newham 012F,,538881,184529,51.5426,0.001334,93,137.6598788,0.2,0.8,46.9
32258,E01034219,Newham 039C,,538631,184823,51.5453,-0.00215,84,135.2251878,0.2,0.8,42.4
32259,E01034220,Newham 039D,,538390,184501,51.5424,-0.00575,74,132.7580935,0.19,0.81,37.405
32252,E01034213,Newham 038A,,537786,185247,51.5493,-0.01417,10,416.9306746,0.66,0.34,5.17
32253,E01034214,Newham 038B,,538086,185070,51.5476,-0.00991,33,169.5775985,0.25,0.75,16.875
32254,E01034215,Newham 038C,,538244,185039,51.5473,-0.00765,100,60.04734276,0.07,0.93,50.465
32256,E01034217,Newham 038E,,537941,184700,51.5443,-0.01215,35,236.7901026,0.36,0.64,17.82
32257,E01034218,Newham 039B,,538294,185297,51.5496,-0.00682,74,107.6163275,0.15,0.85,37.425
32255,E01034216,Newham 038D,,538370,184909,51.5461,-0.00588,81,153.6590168,0.23,0.77,40.885
31669,E01033579,Newham 040C,,537880,183346,51.5322,-0.01355,26,250.4748291,0.38,0.62,13.31
32260,E01034221,Newham 039E,,538379,184026,51.5382,-0.0061,82,56.83325333,0.07,0.93,41.465
32261,E01034222,Newham 040A,,537952,183980,51.5379,-0.01227,50,147.0490013,0.21,0.79,25.395
32262,E01034223,Newham 040B,,538393,183640,51.5347,-0.00605,98,34.4772676,0.03,0.97,49.485
32263,E01034224,Newham 041D,,542100,180035,51.5014,0.045909,31,251.2315252,0.39,0.61,15.805
32264,E01034225,Newham 042B,,541442,180222,51.5032,0.036511,55,134.998993,0.19,0.81,27.905
32265,E01034226,Newham 042C,,541453,180028,51.5015,0.036591,55,145.9216355,0.21,0.79,27.895
32267,E01034228,Newham 042E,,541142,179944,51.5008,0.03208,25,190.1577502,0.29,0.71,12.855
32270,E01034231,Newham 042H,,541278,179820,51.4997,0.033988,7.8,398.0679911,0.63,0.37,4.085
31670,E01033580,Newham 042A,,540729,180295,51.5041,0.026274,17,186.2453772,0.28,0.72,8.86
32266,E01034227,Newham 042D,,540832,180017,51.5015,0.027646,98,76.62068533,0.1,0.9,49.45
32268,E01034229,Newham 042F,,540348,180091,51.5023,0.020707,13,285.6184678,0.44,0.56,6.78
32269,E01034230,Newham 042G,,540782,179864,51.5002,0.026865,96,51.0460473,0.06,0.94,48.47
3324,E01003483,Newham 032A,,542083,181918,51.5183,0.046423,19,240.0962393,0.37,0.63,9.815
3325,E01003484,Newham 032B,,542576,181891,51.5179,0.053513,36,171.4789152,0.25,0.75,18.375
3326,E01003485,Newham 035C,,542352,181536,51.5148,0.050143,43,203.8573455,0.31,0.69,21.845
3327,E01003486,Newham 033C,,543008,181564,51.5149,0.059602,83,65.74022452,0.08,0.92,41.96
3377,E01003540,Newham 029C,,542904,182348,51.522,0.058422,68,66.60131823,0.08,0.92,34.46
3378,E01003541,Newham 029D,,542406,182246,51.5212,0.051207,57,171.0251646,0.25,0.75,28.875
32244,E01034205,Newham 033E,,544253,182297,51.5212,0.077831,21,471.5274229,0.75,0.25,10.625
3380,E01003543,Newham 001A,,540727,185689,51.5526,0.028398,38,218.400132,0.33,0.67,19.335
3384,E01003547,Newham 007A,,541032,185709,51.5527,0.032803,0,536.8490252,0.85,0.15,0.075
3421,E01003584,Newham 003B,,541552,185627,51.5518,0.040265,12,398.1474231,0.63,0.37,6.185
3381,E01003544,Newham 001B,,539998,185584,51.5518,0.017849,22,291.3132106,0.45,0.55,11.275
3383,E01003546,Newham 001C,,540377,185589,51.5517,0.023314,58,184.2609765,0.28,0.72,29.36
3339,E01003499,Newham 030A,,540410,182453,51.5235,0.02254,75,102.1969448,0.14,0.86,37.93
3445,E01003611,Newham 041C,,543253,179952,51.5004,0.062476,96,36.70159397,0.03,0.97,48.485
31671,E01033581,Newham 041A,,543164,180295,51.5035,0.061334,32,259.9179849,0.4,0.6,16.3
31672,E01033582,Newham 041B,,543829,179993,51.5006,0.070785,16,201.9759416,0.3,0.7,8.35
3385,E01003548,Newham 006B,,539429,185445,51.5507,0.009593,26,344.7586879,0.54,0.46,13.23
3446,E01003615,Newham 039A,,538925,185401,51.5504,0.002312,40,151.8443737,0.22,0.78,20.39
