FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,5min_Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),IMD Score,NormIMD,Income Score (rate),Income Decile (where 1 is most deprived 10% of LSOAs),Income Rank,Employment Score (rate),Employment Decile (where 1 is most deprived 10% of LSOAs),Education Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,5min_Coverage_p
3329,E01003488,Newham 019A,,541709,183657,51.534,0.041735,30,346.1918448,0.54,0.46,15.23,52,40.7,0.81748072,0.3,1,3282,0.2,2,24.7,0.3,49.5,21.4,30
3330,E01003489,Newham 019B,,541447,183584,51.5335,0.037931,61,137.0988116,0.2,0.8,30.9,52,34.4,0.655526992,0.2,2,4705,0.1,4,21.8,0,50.9,25.6,61
3332,E01003491,Newham 022A,,541240,183621,51.5338,0.034964,76,92.29625739,0.12,0.88,38.44,52.7,29.5,0.529562982,0.2,3,7609,0.1,5,15,-0.4,47.6,45.9,76
3403,E01003566,Newham 014D,,541316,183997,51.5372,0.036209,90,55.11009442,0.06,0.94,45.47,48.3,30.4,0.552699229,0.2,3,9823,0.1,5,19.2,-0.1,49.9,34.8,90
3406,E01003569,Newham 017B,,541044,183980,51.5371,0.032283,90,56.16907518,0.07,0.93,45.465,47.2,27.7,0.483290488,0.2,3,9472,0.1,6,15,-0.3,50.3,29.7,90
3442,E01003605,Newham 028C,,541278,183062,51.5288,0.035287,85,120.9979573,0.17,0.83,42.915,47.1,29.5,0.529562982,0.2,3,8848,0.1,4,22.4,-0.3,48.5,38.2,85
3333,E01003492,Newham 025A,,541747,183067,51.5287,0.042045,93,46.90644593,0.05,0.95,46.975,41.9,24.9,0.411311054,0.1,5,6616,0.1,7,21.2,-0.1,46.7,43.7,93
3405,E01003568,Newham 017A,,540862,183816,51.5357,0.029595,28,226.5930891,0.34,0.66,14.33,47.2,24,0.388174807,0.1,4,14602,0.1,5,12.7,-0.1,47.6,28.6,28
3436,E01003599,Newham 022C,,541005,183475,51.5326,0.031519,2.4,376.6898228,0.59,0.41,1.405,52.7,31.2,0.573264781,0.2,3,15850,0.1,4,21.5,-0.2,50.7,27.2,2.4
3334,E01003494,Newham 025C,,541699,182800,51.5263,0.041247,89,132.3330363,0.19,0.81,44.905,41.9,21.3,0.318766067,0.1,5,17572,0.1,7,19.3,-0.8,43.2,40.5,89
3335,E01003495,Newham 025D,,542018,182841,51.5266,0.045858,24,202.6994086,0.31,0.69,12.345,41.9,18,0.233933162,0.1,5,11074,0.1,7,12.8,-0.6,39.3,36.3,24
3364,E01003527,Newham 024B,,542432,183056,51.5285,0.051909,9.6,350.6202261,0.55,0.45,5.025,41.9,19.9,0.28277635,0.1,6,9078,0.1,7,14.7,-0.6,41.5,37.8,9.6
3374,E01003537,Newham 024C,,542461,182728,51.5255,0.052194,27,354.9201434,0.56,0.44,13.72,41.9,25.3,0.42159383,0.1,4,7699,0.1,6,15.7,0,43.5,42.4,27
3376,E01003539,Newham 029B,,541831,182379,51.5225,0.042979,64,86.22713163,0.11,0.89,32.445,40.6,27.3,0.473007712,0.2,3,7080,0.1,5,18.7,-0.1,46.2,32,64
3336,E01003496,Newham 027A,,539439,182881,51.5276,0.008723,28,279.8043065,0.43,0.57,14.285,54.5,28.5,0.503856041,0.2,3,5747,0.1,3,12.8,-0.1,48,18.4,28
3338,E01003498,Newham 027B,,539913,182682,51.5257,0.015472,71,87.63717392,0.12,0.88,35.94,54.5,33.2,0.624678663,0.2,3,8342,0.1,4,20.1,0.3,50.4,18.7,71
3340,E01003500,Newham 027C,,539039,182529,51.5246,0.002821,40,109.9033962,0.15,0.85,20.425,54.5,34.3,0.652956298,0.2,3,13616,0.1,3,20.2,0.4,52,29.2,40
3430,E01003593,Newham 027D,,539917,183105,51.5295,0.015697,58,151.9671858,0.22,0.78,29.39,54.5,32.7,0.611825193,0.2,2,2564,0.1,3,17.7,0.3,52.7,23.8,58
3460,E01003631,Newham 020A,,539338,183215,51.5307,0.0074,60,25.53596677,0.02,0.98,30.49,53,27.2,0.470437018,0.2,3,2747,0.1,5,16.7,-0.2,44.5,37.7,60
3461,E01003632,Newham 020B,,539688,183337,51.5317,0.01249,42,218.4453401,0.33,0.67,21.335,53,21,0.311053985,0.1,5,2728,0.1,6,14.5,-0.5,45.7,28.4,42
