FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),Index of Multiple Deprivation (IMD) Score,Income Score (rate),Income Decile (where 1 is most deprived 10% of LSOAs),Income Rank,Employment Score (rate),Employment Decile (where 1 is most deprived 10% of LSOAs),Education Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score
3355,E01003518,Newham 032D,,541604,181531,51.515,0.039369,100,98.50879463,0.13,0.87,50.435,39.6,22.6,0.1,5,10805,0.1,6,14.2,-0.3,55.6,21.3
3356,E01003519,Newham 032E,,541249,181495,51.5147,0.034242,100,191.4743529,0.29,0.71,50.355,39.6,29.4,0.2,3,10617,0.1,5,24.3,0.1,52.4,24.4
3331,E01003490,Newham 019C,,541886,183488,51.5325,0.044217,88.454,365.1892649,0.57,0.43,44.442,52,31,0.2,2,8969,0.1,5,23.3,-0.1,49.8,30.6
3357,E01003520,Newham 018A,,542150,184069,51.5376,0.048255,100,104.7300347,0.15,0.85,50.425,51,26.7,0.1,4,7801,0.1,6,15.1,-0.6,50,27.2
3358,E01003521,Newham 018B,,542572,183804,51.5351,0.054228,100,74.82980804,0.1,0.9,50.45,51,28.5,0.1,5,6064,0.1,8,13.2,-0.5,51,61.3
3359,E01003522,Newham 018C,,542194,183847,51.5356,0.048799,100,207.1732284,0.31,0.69,50.345,51,31.4,0.2,3,5983,0.1,5,17.5,0,55.5,41.7
3361,E01003524,Newham 019D,,542046,183617,51.5336,0.046574,100,164.2365294,0.24,0.76,50.38,52,28.6,0.1,4,10573,0.1,5,22.6,-0.7,49.4,49.4
3362,E01003525,Newham 018D,,542343,183605,51.5334,0.050849,100,22.47159208,0.01,0.99,50.495,51,30.7,0.1,4,11285,0.1,7,17.1,-0.8,50.5,51.3
3363,E01003526,Newham 018E,,542440,183342,51.531,0.05214,100,169.8706087,0.25,0.75,50.375,51,30.1,0.2,3,10320,0.1,5,17.3,0.1,51.5,36.3
3360,E01003523,Newham 024A,,542718,183164,51.5294,0.056073,100,72.20739162,0.09,0.91,50.455,41.9,31.5,0.2,3,10825,0.1,4,17.8,0.1,50.5,31.8
3379,E01003542,Newham 024D,,542955,182907,51.527,0.059383,100,122.7280733,0.17,0.83,50.415,41.9,32.8,0.2,2,11454,0.1,3,21.6,0.2,47.1,30
3365,E01003528,Newham 005A,,542962,184844,51.5444,0.060269,81.899,232.7511477,0.36,0.64,41.2695,44.9,30.4,0.2,2,14855,0.1,4,20,-0.3,55.1,21.1
3366,E01003529,Newham 010A,,542389,184738,51.5436,0.051969,100,117.298754,0.17,0.83,50.415,43.6,23.4,0.1,4,7802,0.1,6,14.8,-0.7,50.4,31.2
3367,E01003530,Newham 010B,,542756,184705,51.5432,0.057244,100,180.2725442,0.27,0.73,50.365,43.6,21.9,0.1,4,7119,0.1,6,13.9,-0.6,48.7,23.7
3369,E01003532,Newham 010D,,542506,184504,51.5415,0.05356,100,86.42842079,0.12,0.88,50.44,43.6,25.3,0.2,4,6952,0.1,6,11.3,-0.6,46.1,42.1
3371,E01003534,Newham 010E,,542433,185053,51.5464,0.05273,100,209.8462163,0.32,0.68,50.34,43.6,25.2,0.1,4,10513,0.1,6,19.5,-0.6,49.5,35.7
3454,E01003625,Newham 015A,,543141,184552,51.5417,0.06273,11.752,625.8927257,1,0,5.876,42.3,28.6,0.1,4,9991,0.1,5,18,-0.3,56.8,39.2
3455,E01003626,Newham 015B,,542883,184414,51.5406,0.058957,74.664,266.9340759,0.41,0.59,37.627,42.3,23.9,0.1,5,7185,0.1,6,10.1,0,50.5,35.7
3368,E01003531,Newham 010C,,542070,184413,51.5407,0.047241,100,92.54768373,0.13,0.87,50.435,43.6,29.2,0.2,3,7842,0.1,5,14.2,-0.3,49.4,33
3456,E01003627,Newham 015C,,542891,184141,51.5381,0.058961,27.612,446.9799303,0.71,0.29,13.951,42.3,28.4,0.2,3,9187,0.1,5,18.6,0.2,46.7,31
3412,E01003575,Newham 005B,,542792,185153,51.5472,0.057945,95.977,145.7952017,0.21,0.79,48.3835,44.9,29.8,0.2,3,8576,0.1,4,26.7,-0.4,47.1,25.6
3416,E01003579,Newham 004A,,542654,185397,51.5494,0.056055,100,205.2240013,0.31,0.69,50.345,49.5,28.5,0.2,4,8444,0.1,5,29.4,-0.1,46.9,37.3
3422,E01003585,Newham 004B,,542396,185452,51.55,0.052359,100,277.8548572,0.43,0.57,50.285,49.5,28,0.2,4,4955,0.1,6,25,0,51.3,29
3424,E01003587,Newham 004C,,542073,185263,51.5484,0.047627,100,171.0548803,0.25,0.75,50.375,49.5,28,0.2,3,15162,0.1,5,15.9,-0.3,50,23.6
3425,E01003588,Newham 011D,,541794,184904,51.5452,0.043461,85.212,317.7081673,0.49,0.51,42.861,40.9,29.2,0.2,3,6454,0.1,5,19,0,51.5,30.5
3426,E01003589,Newham 011E,,541975,184764,51.5439,0.046013,75.431,276.9477176,0.43,0.57,38.0005,40.9,26.8,0.2,3,5724,0.1,6,19.7,-0.1,50.4,28.1
3388,E01003551,Newham 009A,,540065,184741,51.5442,0.01848,100,141.4399579,0.21,0.79,50.395,58.9,35,0.2,3,10923,0.1,4,10.9,0.9,52.5,33.7
3389,E01003552,Newham 016A,,540201,184627,51.5431,0.020394,100,277.8549564,0.43,0.57,50.285,47.7,29.8,0.2,3,15700,0.1,4,16.3,-0.1,47.9,37.5
3390,E01003553,Newham 009B,,539694,184821,51.545,0.013165,100,120.3320959,0.17,0.83,50.415,58.9,35.8,0.2,2,13549,0.1,3,12.4,0.5,46.7,34.5
3391,E01003554,Newham 009C,,539810,184489,51.542,0.014705,100,220.956902,0.34,0.66,50.33,58.9,21.9,0.1,5,12721,0.1,7,10.7,-0.1,45,30.9
3394,E01003557,Newham 006D,,539956,185060,51.5471,0.017036,100,160.2374688,0.24,0.76,50.38,53.7,36.8,0.2,2,5941,0.1,3,11.4,0.3,51.2,39.5
3395,E01003558,Newham 008B,,540432,184873,51.5453,0.023821,100,111.2820766,0.16,0.84,50.42,51.2,38.3,0.2,2,8277,0.1,4,24,0.2,50.4,36.2
3386,E01003549,Newham 006C,,539569,185177,51.5482,0.011505,100,138.0624538,0.2,0.8,50.4,53.7,25.6,0.1,4,11323,0.1,5,14.2,-0.1,48.3,25.8
3396,E01003559,Newham 009D,,539403,184822,51.5451,0.008972,100,77.90378583,0.1,0.9,50.45,58.9,20.7,0.1,5,11076,0.1,7,8.6,-0.1,46.9,29.7
3448,E01003618,Newham 012C,,539288,184464,51.5419,0.007173,100,62.5454918,0.08,0.92,50.46,67,26.8,0.1,5,9162,0.1,7,10.8,-0.3,44.2,52.5
3464,E01003635,Newham 016D,,539940,184058,51.5381,0.016407,96.371,199.37955,0.3,0.7,48.5355,47.7,24.6,0.1,4,8542,0.1,5,10.9,-0.5,43.5,28.1
3465,E01003636,Newham 020E,,539385,184010,51.5378,0.008391,100,61.89273093,0.07,0.93,50.465,53,32.3,0.2,2,9813,0.1,4,17,0.2,46.3,22.8
3397,E01003560,Newham 011B,,541506,184826,51.5446,0.03928,100,177.0290134,0.26,0.74,50.37,40.9,28,0.2,3,9503,0.1,4,21,-0.4,49.7,30
3398,E01003561,Newham 007C,,541314,184910,51.5454,0.036547,100,61.27709682,0.07,0.93,50.465,41.1,23.7,0.1,4,9768,0.1,6,17.6,-0.5,49.2,28.1
3399,E01003562,Newham 014A,,541271,184571,51.5424,0.035791,100,105.1969894,0.15,0.85,50.425,41.1,25.9,0.1,4,12531,0.1,6,18.9,-0.5,52,35.1
3400,E01003563,Newham 011C,,541583,184562,51.5422,0.040283,100,200.7040778,0.3,0.7,50.35,40.9,27.1,0.2,3,3809,0.1,5,25.6,-0.5,50,31.9
3423,E01003586,Newham 003C,,541649,185146,51.5474,0.041469,100,106.6171434,0.15,0.85,50.425,45.7,30,0.2,3,6105,0.1,5,20,0.1,48.3,36.4
3370,E01003533,Newham 011A,,541735,184264,51.5395,0.042354,100,104.8551873,0.15,0.85,50.425,40.9,27.6,0.2,3,9322,0.1,5,16.6,-0.2,47.5,38.2
3401,E01003564,Newham 014B,,541277,184340,51.5403,0.035785,100,181.3291908,0.27,0.73,50.365,48.3,27.4,0.2,3,8288,0.1,5,14,-0.2,50.6,30
3402,E01003565,Newham 014C,,541607,184076,51.5378,0.040434,100,88.42974531,0.12,0.88,50.44,48.3,25.4,0.2,3,7772,0.1,7,14.1,0.1,49.8,28.7
